ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,PoS,Function,Level
nort2697-GB020,nort2697,GB020,0,GB020-0,,Shiraliev (1997:165),article,deixis,NP
nort2697-GB021,nort2697,GB021,0,GB021-0,,Shiraliev (1997:165),article,deixis,NP
nort2697-GB022,nort2697,GB022,0,GB022-0,,Shiraliev (1997:165),article,deixis,NP
nort2697-GB023,nort2697,GB023,0,GB023-0,,Shiraliev (1997:165),article,deixis,NP
nort2697-GB026,nort2697,GB026,0,GB026-0,,Mehraliev (p.c. 2017),not assignable,word order,NP
nort2697-GB027,nort2697,GB027,1,GB027-1,,Mehraliev (p.c. 2017),multiple,argument marking (non-core),NP
nort2697-GB028,nort2697,GB028,0,GB028-0,,Shiraliev (1971:1-407),pronoun,deixis,word
nort2697-GB030,nort2697,GB030,0,GB030-0,,Shiraliev (1971:79),pronoun,deixis,word
nort2697-GB031,nort2697,GB031,0,GB031-0,,Shiraliev (1971:79),pronoun,deixis,word
nort2697-GB035,nort2697,GB035,0,GB035-0,,Shiraliev (1971:82); Shiraliev (1997:165-166),demonstrative,deixis,word
nort2697-GB036,nort2697,GB036,0,GB036-0,,Shiraliev (1971:82); Shiraliev (1997:165-166),demonstrative,deixis,word
nort2697-GB037,nort2697,GB037,0,GB037-0,,Shiraliev (1971:82); Shiraliev (1997:165-166),demonstrative,deixis,word
nort2697-GB038,nort2697,GB038,0,GB038-0,,Shiraliev (1971:1-407),noun,deixis,word
nort2697-GB039,nort2697,GB039,0,GB039-0,,Shiraliev (1997:163),noun,number,word
nort2697-GB041,nort2697,GB041,0,GB041-0,,Shiraliev (1971:42-43),noun,number,word
nort2697-GB042,nort2697,GB042,0,GB042-0,,Shiraliev (1997:163),noun,number,word
nort2697-GB043,nort2697,GB043,0,GB043-0,,Shiraliev (1997:163),noun,number,word
nort2697-GB044,nort2697,GB044,1,GB044-1,,Shiraliev (1997:163),noun,number,word
nort2697-GB046,nort2697,GB046,1,GB046-1,,Shiraliev (1997:163),noun,number,word
nort2697-GB047,nort2697,GB047,1,GB047-1,,Shiraliev (1971:54-55); Shiraliev (1997:166),noun,denominal derivation,word
nort2697-GB048,nort2697,GB048,1,GB048-1,,Shiraliev (1971:53),noun,denominal derivation,word
nort2697-GB049,nort2697,GB049,1,GB049-1,there is an affix deriving nouns meaning the result of an action,Shiraliev (1971:55),noun,denominal derivation,word
nort2697-GB051,nort2697,GB051,0,GB051-0,,Shiraliev (1997:163),multiple,class agreement,word
nort2697-GB052,nort2697,GB052,0,GB052-0,,Shiraliev (1997:163),multiple,class agreement,word
nort2697-GB053,nort2697,GB053,0,GB053-0,,Shiraliev (1997:163),multiple,class agreement,word
nort2697-GB054,nort2697,GB054,0,GB054-0,,Shiraliev (1997:163),multiple,class agreement,word
nort2697-GB057,nort2697,GB057,0,GB057-0,,Shiraliev (1971:1-407),noun,quantification,word
nort2697-GB058,nort2697,GB058,0,GB058-0,,Shiraliev (1971:1-407),noun,possession,word
nort2697-GB059,nort2697,GB059,0,GB059-0,,Shiraliev (1971:49-51); Shiraliev (1997:163-164),noun,possession,word
nort2697-GB068,nort2697,GB068,0,GB068-0,,Shiraliev (1997:166),adjective,non-verbal predication,word
nort2697-GB069,nort2697,GB069,0,GB069-0,,Shiraliev (1997:166),adjective,other,word
nort2697-GB070,nort2697,GB070,1,GB070-1,,Shiraliev (1997:163),noun,argument marking (core),word
nort2697-GB071,nort2697,GB071,1,GB071-1,,Shiraliev (1971:80-81),pronoun,argument marking (core),word
nort2697-GB072,nort2697,GB072,1,GB072-1,,Shiraliev (1997:163),noun,argument marking (non-core),word
nort2697-GB073,nort2697,GB073,1,GB073-1,,Shiraliev (1971:80-81),pronoun,argument marking (non-core),word
nort2697-GB074,nort2697,GB074,0,GB074-0,,Shiraliev (1971:159-167); Shiraliev (1997:167),other,argument marking (non-core),NP
nort2697-GB075,nort2697,GB075,1,GB075-1,,Shiraliev (1971:159-167); Shiraliev (1997:167),other,argument marking (non-core),NP
nort2697-GB079,nort2697,GB079,0,GB079-0,,Shiraliev (1971:1-407),verb,TAME+,word
nort2697-GB080,nort2697,GB080,1,GB080-1,,Shiraliev (1971:94-146),verb,TAME+,word
nort2697-GB081,nort2697,GB081,0,GB081-0,,Shiraliev (1971:1-407),verb,TAME+,word
nort2697-GB082,nort2697,GB082,1,GB082-1,,Shiraliev (1997:165),verb,TAME,word
nort2697-GB083,nort2697,GB083,1,GB083-1,,Shiraliev (1971:123); Shiraliev (1997:165),verb,TAME,word
nort2697-GB084,nort2697,GB084,1,GB084-1,,Shiraliev (1997:165),verb,TAME,word
nort2697-GB086,nort2697,GB086,0,GB086-0,tenses can have aspectual meaning,"Shiraliev (1971:101, 137); Shiraliev (1997:165)",verb,TAME,word
nort2697-GB089,nort2697,GB089,1,GB089-1,,"Shiraliev (1971:110-112, 213); Shiraliev (1997:168)",verb,argument marking (core),word
nort2697-GB090,nort2697,GB090,0,GB090-0,,"Shiraliev (1971:110-112, 213); Shiraliev (1997:168)",verb,argument marking (core),word
nort2697-GB091,nort2697,GB091,1,GB091-1,,"Shiraliev (1971:110-112, 213); Shiraliev (1997:168)",verb,argument marking (core),word
nort2697-GB092,nort2697,GB092,0,GB092-0,,"Shiraliev (1971:110-112, 213); Shiraliev (1997:168)",verb,argument marking (core),word
nort2697-GB093,nort2697,GB093,0,GB093-0,,"Shiraliev (1971:110-112, 213); Shiraliev (1997:168)",verb,argument marking (core),word
nort2697-GB094,nort2697,GB094,0,GB094-0,,"Shiraliev (1971:110-112, 213); Shiraliev (1997:168)",verb,argument marking (core),word
nort2697-GB095,nort2697,GB095,0,GB095-0,,Shiraliev (1971:1-407),verb,argument marking (core),word
nort2697-GB096,nort2697,GB096,0,GB096-0,,Shiraliev (1971:1-407),verb,argument marking (core),word
nort2697-GB098,nort2697,GB098,0,GB098-0,,Shiraliev (1971:1-407),verb,argument marking (core),word
nort2697-GB099,nort2697,GB099,0,GB099-0,Not mentioned.,Shiraliev (1971:110-112),verb,argument marking (core),word
nort2697-GB103,nort2697,GB103,0,GB103-0,,Shiraliev (1971:1-407),verb,argument marking (non-core),word
nort2697-GB104,nort2697,GB104,0,GB104-0,,Shiraliev (1971:1-407),verb,argument marking (non-core),word
nort2697-GB105,nort2697,GB105,?,GB105-?,,Shiraliev (1971:1-407),verb,argument marking (non-core),word
