Grambank ID	Feature	Possible Values	Value	Source	Comment	Detailed comment	Example
GB020	Are there definite or specific articles?	1: present, 0: absent	0	Shiraliev (1997:165)			
GB021	Do indefinite nominals commonly have indefinite articles?	1: present, 0: absent	0	Shiraliev (1997:165)			
GB022	Are there prenominal articles?	1: present, 0: absent	0	Shiraliev (1997:165)			
GB023	Are there postnominal articles?	1: present, 0: absent	0	Shiraliev (1997:165)			
GB024	What is the order of numeral and noun in the NP?	multistate 1: Num-N; 2: N-Num; 3: both.	1	Shiraliev (1971:226, 229)			"beš adam
[five man]
‘five men’"
GB025	What is the order of adnominal demonstrative and noun?	multistate 1: Dem-N; 2: N-Dem; 3: both.	1	Shiraliev (1971:226)			"bu oɣlan
[this boy]
‘this boy’"
GB026	Can adnominal property words occur discontinuously?	1: present, 0: absent	0	Mehraliev (p.c. 2017)			"*ev män-dä gözäl-dir
[house 1SG-LOC nice-PRED]
‘My house is nice.’
män-im ev-im gözäl-dir
[1SG-GEN house-1SG nice-PRED]
‘My house is nice.’"
GB027	Are nominal conjunction and comitative expressed by different elements?	1: present, 0: absent	1	Mehraliev (p.c. 2017)			"orxan vä їqor
[Orhan and Igor]
‘Orhan and Igor’
їqor, Orxan ilä
[Orhan Igor with]
‘Orhan with Igor’"
GB028	Is there an inclusive/exclusive distinction?	1: present, 0: absent	0	Shiraliev (1971:1-407)			
GB030	Is there a gender distinction in independent 3rd person pronouns?	1: present, 0: absent	0	Shiraliev (1971:79)			
GB031	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?	1: present, 0: absent	0	Shiraliev (1971:79)			
GB035	Are there three or more distance contrasts in demonstratives?	1: present, 0: absent	0	Shiraliev (1971:82); Shiraliev (1997:165-166)			"bu ‘this’
o ‘that’"
GB036	Do demonstratives show an elevation distinction?	1: present, 0: absent	0	Shiraliev (1971:82); Shiraliev (1997:165-166)			
GB037	Do demonstratives show a visible-nonvisible distinction?	1: present, 0: absent	0	Shiraliev (1971:82); Shiraliev (1997:165-166)			
GB038	Are there demonstrative classifiers?	1: present, 0: absent	0	Shiraliev (1971:1-407)			
GB039	Is there nonphonological allomorphy of noun number markers?	1: present, 0: absent	0	Shiraliev (1997:163)			
GB041	Are there several nouns (more than three) which are suppletive for number?	1: present, 0: absent	0	Shiraliev (1971:42-43)			
GB042	Is there productive overt morphological singular marking on nouns?	1: present, 0: absent	0	Shiraliev (1997:163)			
GB043	Is there productive morphological dual marking on nouns?	1: present, 0: absent	0	Shiraliev (1997:163)			
GB044	Is there productive morphological plural marking on nouns?	1: present, 0: absent	1	Shiraliev (1997:163)			
GB046	Is there an associative plural marker for nouns?	1: present, 0: absent	1	Shiraliev (1997:163)		the same as the plural marker, -lar and allomorphs	
GB047	Is there a productive morphological pattern for deriving an action/state noun from a verb?	1: present, 0: absent	1	Shiraliev (1971:54-55); Shiraliev (1997:166)			
GB048	Is there a productive morphological pattern for deriving an agent noun from a verb?	1: present, 0: absent	1	Shiraliev (1971:53)			
GB049	Is there a productive morphological pattern for deriving an object noun from a verb?	1: present, 0: absent	1	Shiraliev (1971:55)	there is an affix deriving nouns meaning the result of an action		
GB051	Is there a noun class/gender system where sex is a factor in class assignment?	1: present, 0: absent	0	Shiraliev (1997:163)			
GB052	Is there a noun class/gender system where shape is a factor in class assignment?	1: present, 0: absent	0	Shiraliev (1997:163)			
GB053	Is there a noun class/gender system where animacy is a factor in class assignment?	1: present, 0: absent	0	Shiraliev (1997:163)			
GB054	Is there a noun class/gender system where plant status is a factor in class assignment?	1: present, 0: absent	0	Shiraliev (1997:163)			
GB057	Are there numeral classifiers?	1: present, 0: absent	0	Shiraliev (1971:1-407)			
GB058	Are there possessive classifiers?	1: present, 0: absent	0	Shiraliev (1971:1-407)			
GB059	Is the adnominal possessive construction different for alienable and inalienable nouns?	1: present, 0: absent	0	Shiraliev (1971:49-51); Shiraliev (1997:163-164)			
GB065	What is the pragmatically unmarked order of adnominal possessor noun and possessed noun?	multistate 1:Possessor-Possessed; 2:Possessed-Possessor; 3: both	3	Shiraliev (1971:49-51); Shiraliev (1997:163-164)			
GB068	Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?	1: present, 0: absent	0	Shiraliev (1997:166)			"ağ yumurta ‘white egg’
yumurta aɣdır 'The egg is white’
yumurta aɣ idi ‘The egg was white’"
GB069	Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?	1: present, 0: absent	0	Shiraliev (1997:166)			aɣ yumurta ‘white egg’
GB070	Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?	1: present, 0: absent	1	Shiraliev (1997:163)			
GB071	Are there morphological cases for pronominal core arguments (i.e. S/A/P)?	1: present, 0: absent	1	Shiraliev (1971:80-81)			
GB072	Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?	1: present, 0: absent	1	Shiraliev (1997:163)			
