Grambank ID	Feature	Possible Values	Value	Source	Comment	Detailed comment	Example
GB020	Are there definite or specific articles?	1: present, 0: absent	0	Todaeva (1997:33)			
GB021	Do indefinite nominals commonly have indefinite articles?	1: present, 0: absent	0	Todaeva (1997:33)	not obligatory	postposional affix -nge 	
GB022	Are there prenominal articles?	1: present, 0: absent	0	Todaeva (1997:33)			
GB023	Are there postnominal articles?	1: present, 0: absent	0	Todaeva (1997:33)			
GB024	What is the order of numeral and noun in the NP?	"multistate 1: Num-N; 2: N-Num; 3: both."	3	Fried (2010:140)			
GB025	What is the order of adnominal demonstrative and noun?	"multistate 1: Dem-N; 2: N-Dem; 3: both."	1	Fried (2010:143-144)			
GB026	Can adnominal property words occur discontinuously?	1: present, 0: absent	0	Fried (2010:1-340)	The order ANM - N is claimed to be strict.		
GB027	Are nominal conjunction and comitative expressed by different elements?	1: present, 0: absent	?	Fried (2010:1-340)	Not mentioned.		
GB028	Is there an inclusive/exclusive distinction?	1: present, 0: absent	1	Todaeva (1997:35)			INCL bEdE vs. EXCL mangE
GB030	Is there a gender distinction in independent 3rd person pronouns?	1: present, 0: absent	0	Todaeva (1997:33)		1SG bE, 2SG tSE, 3SG NgaN, 1PL bEdE/mangE, 2PL ta, 3PL NgaNlE	
GB031	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?	1: present, 0: absent	0	Todaeva (1997:33)		1SG bE, 2SG tSE, 3SG NgaN, 1PL bEdE/mangE, 2PL ta, 3PL NgaNlE	
GB035	Are there three or more distance contrasts in demonstratives?	1: present, 0: absent	0	"Fried (2010:143); Todaeva (1997:33)"		2-way distinction	"EnE ‘this’ - EnElE ‘these’
mE(r) ‘that’ - mE(r)lE ‘those’"
GB036	Do demonstratives show an elevation distinction?	1: present, 0: absent	0	Todaeva (1997:33)			
GB037	Do demonstratives show a visible-nonvisible distinction?	1: present, 0: absent	1	Fried (2010:143)	“They encode a two-way distinction between proximal (ənə) and distal (nokə). The third demonstrative (thər) indicates a referent that is out of sight.”		"ənə ‘this’
nokə ‘that’
thər ‘that out of sight’"
GB038	Are there demonstrative classifiers?	1: present, 0: absent	0	Fried (2010:1-340)			
GB039	Is there nonphonological allomorphy of noun number markers?	1: present, 0: absent	0	Todaeva (1997:31)		Suffix -la	
GB041	Are there several nouns (more than three) which are suppletive for number?	1: present, 0: absent	0	Todaeva (1997:31)			
GB042	Is there productive overt morphological singular marking on nouns?	1: present, 0: absent	0	"Fried (2010:67); Todaeva (1997:31)"	It is not productive. In general, number marking is not obligatory.	Suffix -NgE/-gE	taS@ [stone] - taSEN-g@ [stone-SG], kuN [person] - kuN-g@ [person-SG]
GB043	Is there productive morphological dual marking on nouns?	1: present, 0: absent	1	"Fried (2010:68); Todaeva (1997:31)"	Number marking is not obligatory.	Suffix =Rala	
GB044	Is there productive morphological plural marking on nouns?	1: present, 0: absent	1	"Fried (2010:73); Todaeva (1997:31)"	Number marking is not obligatory.	-la	"bendZer-la [bird-PL]
agu=la [girl-PL]
səme=la=nə [god.box=PL=ACC] ‘god boxes’"
GB046	Is there an associative plural marker for nouns?	1: present, 0: absent	1	Fried (2010:75, 80-81)			"aku=ts_haN [girl=ASSOC] ‘girl’s family’
dz’oma=ts_haN=sa k_hoN=g@ o k_h@r-na
[Droma=ASSOC=ABL person=SG.INDEF go be.required-DUR]
‘A person from Droma’s family should go.’
tundaX @n@ dz’oma=ts_haN doXdaXap-g@-tC@
[matter this Droma=ASSOC=ACC hurt-VBZ-PFV]
‘This matter wounded Droma’s family.’"
GB047	Is there a productive morphological pattern for deriving an action/state noun from a verb?	1: present, 0: absent	1	Fried (2010:86)	Not mentioned.		
GB048	Is there a productive morphological pattern for deriving an agent noun from a verb?	1: present, 0: absent	1	Fried (2010:86)	Not mentioned.		
GB049	Is there a productive morphological pattern for deriving an object noun from a verb?	1: present, 0: absent	1	Fried (2010:86)	Not mentioned.		
GB051	Is there a noun class/gender system where sex is a factor in class assignment?	1: present, 0: absent	0	Todaeva (1997:31)			
GB052	Is there a noun class/gender system where shape is a factor in class assignment?	1: present, 0: absent	0	Todaeva (1997:31)			
GB053	Is there a noun class/gender system where animacy is a factor in class assignment?	1: present, 0: absent	0	Todaeva (1997:31)			
GB054	Is there a noun class/gender system where plant status is a factor in class assignment?	1: present, 0: absent	0	Todaeva (1997:31)			
GB057	Are there numeral classifiers?	1: present, 0: absent	0	Fried (2010:1-340)			
GB058	Are there possessive classifiers?	1: present, 0: absent	0	Fried (2010:1-340)			
GB059	Is the adnominal possessive construction different for alienable and inalienable nouns?	1: present, 0: absent	0	Fried (2010:50)			"nok@ au=n@ k_holdaku
[that man=ACC shoe]
‘that man’s shoe’
nok@ au=n@ papa
[that man=ACC father]
‘that man’s father’
nok@ au=n@ n@r
[that man=ACC face]
‘that man’s face]"
GB065	What is the pragmatically unmarked order of adnominal possessor noun and possessed noun?	"multistate 1:Possessor-Possessed; 2:Possessed-Possessor; 3: both"	?	Todaeva (1997:32-33)	"Controversial sources: Fried (2010): possessor is marked, possessed unmarked; Todaeva (1997): possessor is marked on the possessed in phrases with pronominal possessor, no information on phrases with nominal possessor. According to Fried (2010), the order would be 1, according to Todaeva (1997) 2."		"Todaeva (1997): bEndZEr [bird] - bEndZer-nE [bird-3SG/PL] ‘his/their bird’
Fried (2010): Kots’a=n@ Kos’i=la [school=ACC teacher=PL] ‘school’s teacher’
koZe=n@ satC_ha [self=ACC place] ‘one’s own place’"
GB068	Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?	1: present, 0: absent	0	Fried (2010:148)			"nokə mohton undər wa
[that tree tall be]
’That tree is tall.’"
GB069	"Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?"	1: present, 0: absent	0	Fried (2010:146-147)			"alma mohtun
[fruit tree]
‘fruit tree’"
GB070	Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?	1: present, 0: absent	1	"Fried (2010:44); Todaeva (1997:32)"			"au-g@ wil@-k@-tCo
[man=SG.INDEF work-VBZ-IPFV.OBJ]
‘A man is working.’
aku-g@ Cat’@=n@ jiX-tCo
[woman=SG.INDEF child=ACC hit-IPFV.OBJ]
‘A woman hit the child.’"
GB071	Are there morphological cases for pronominal core arguments (i.e. S/A/P)?	1: present, 0: absent	1	Todaeva (1997:33, 35)			
GB072	Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?	1: present, 0: absent	1	"Fried (2010:44, 61, 64); Todaeva (1997:32)"		"LOC =da
INST =Rala
ABL =sa
PRED.POSS  gaN"	"atCaN Roni=n@ k_heCaN=Rala jiX-tC@ ala-tC@
[3SG sheep=ACC gun=INST hit-IPFV kill-PFV]
‘He shot and killed the antelope.’
nok@ au silaN=sa @r-tC@
[that man Xining=ABL come-PVF]
‘That man came from Xining.’"
GB073	Are there morphological cases for oblique independent personal pronouns (i.e. not S/A/P)?	1: present, 0: absent	1	Todaeva (1997:33, 35)			
GB074	Are there prepositions?	1: present, 0: absent	0	Fried (2010:1-340)			
GB075	Are there postpositions?	1: present, 0: absent	1	Todaeva (1997:34)			
GB079	Do verbs have prefixes/proclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?	1: present, 0: absent	0	Todaeva (1997:31, 35-36)			
GB080	Do verbs have suffixes/enclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?	1: present, 0: absent	1	Todaeva (1997:31, 35-36)			
GB081	Is there productive infixation in verbs?	1: present, 0: absent	0	Fried (2010:1-340)			
GB082	Is there overt morphological marking of present tense on verbs?	1: present, 0: absent	0	"Todaeva (1997:32); Fried (2010:179)"	Fried discusses only aspect marking, imperfective aspect is used to refer to present tense reference		
GB083	Is there overt morphological marking on the verb dedicated to past tense?	1: present, 0: absent	1	Todaeva (1997:32)		"Todaeva: Suffixes -ov(-vo), -dZE
Fried: perfective aspect"	"kEl-o [talk-PST]
la:-dZE [weep-PST]"
GB084	Is there overt morphological marking on the verb dedicated to future tense?	1: present, 0: absent	1	"Todaeva (1997:32); Fried (2010:179)"		"Todaeva: Suffixes -m, -nE
Fried: -gi/-gəwa"	"rE-m [come-FUT]
tani-nE [find.out-FUT]"
GB086	Is a morphological distinction between perfective and imperfective aspect available on verbs?	1: present, 0: absent	1	Fried (2010:179)			
GB089	Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?	1: present, 0: absent	0	Fried (2010:38)			"CoNjisa atCaN @l@ o-t@-m
[originally 3SG NEG go-IMP-NARR]
he doesn’t usually go.’"
GB090	Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?	1: present, 0: absent	0	Fried (2010:38)			"CoNjisa atCaN @l@ o-t@-m
[originally 3SG NEG go-IMP-NARR]
he doesn’t usually go.’"
GB091	Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?	1: present, 0: absent	0	Fried (2010:38)			"atCaN m@nda jiX-tCo
[3SG 1SG.ACC hit-IPFV.OBJ]
‘He hit me.’"
GB092	Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?	1: present, 0: absent	0	Fried (2010:38)			"atCaN m@nda jiX-tCo
[3SG 1SG.ACC hit-IPFV.OBJ]
‘He hit me.’"
GB093	Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?	1: present, 0: absent	0	Fried (2010:38)			"atCaN m@nda jiX-tCo
[3SG 1SG.ACC hit-IPFV.OBJ]
‘He hit me.’"
GB094	Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?	1: present, 0: absent	0	Fried (2010:38)			"atCaN m@nda jiX-tCo
[3SG 1SG.ACC hit-IPFV.OBJ]
‘He hit me.’"
GB095	Are variations in marking strategies of core participants based on TAM distinctions?	1: present, 0: absent	0	Fried (2010:1-340)			
GB096	Are variations in marking strategies of core participants based on verb classes?	1: present, 0: absent	0	Fried (2010:1-340)			
GB098	Are variations in marking strategies of core participants based on person distinctions?	1: present, 0: absent	0	Fried (2010:1-340)			
GB099	Can verb stems alter according to the person of a core participant?	1: present, 0: absent	0	Fried (2010:1-340)			
GB103	Is there a benefactive applicative marker on the verb (including indexing)?	1: present, 0: absent	?	Fried (2010:1-340)	Not mentioned.		
GB104	Is there an instrumental applicative marker on the verb (including indexing)?	1: present, 0: absent	?	Fried (2010:1-340)	Not mentioned.		
GB105	Can the recipient in a ditransitive construction be marked like the monotransitive patient?	1: present, 0: absent	1	Fried (2010:1-340)	Recipients are marked by the locative case, monotransitive patients by the accusative case.		"aku-g@ Cat’@=n@ jiX-tCo
[woman=SG.INDEF child=ACC hit-IPFV.OBJ]
‘A woman hit the child.’
au=g@ aku=g@=da samt@X=g@ oX-tCo
[boy=SG.INDEF girl=SG.INDEF=LOC gift=SG.INDEF give-IPFV.OBJ]
‘A boy gave a gift to a girl.’"
GB107	Can standard negation be marked by an affix, clitic or modification of the verb?	1: present, 0: absent	0	Todaeva (1997:33)			
GB108	Is there directional or locative morphological marking on verbs?	1: present, 0: absent	0	Fried (2010:1-340)			
GB109	Is there verb suppletion for participant number?	1: present, 0: absent	0	Fried (2010:1-340)			
GB110	Is there verb suppletion for tense or aspect?	1: present, 0: absent	0	Fried (2010:1-340)			
GB111	Are there conjugation classes?	1: present, 0: absent	?	Fried (2010:1-340)	Not mentioned.		
GB113	Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?	1: present, 0: absent	1	Todaeva (1997:32)			ndZE- [look] - ndZEGE- [look-CAUS] ‘let sb look’
GB114	Is there a phonologically bound reflexive marker on the verb?	1: present, 0: absent	0	Fried (2010:123-124, 206)	Not mentioned.		
