Grambank ID	Feature	Possible Values	Value	Source	Comment	Detailed comment	Example
GB020	Are there definite or specific articles?	1: present, 0: absent	0	Poppe (1960:1-129)			
GB021	Do indefinite nominals commonly have indefinite articles?	1: present, 0: absent	0	Sanzeev (1962:136)	not commonly, but possibly		
GB022	Are there prenominal articles?	1: present, 0: absent	0	Poppe (1960:1-129)			
GB023	Are there postnominal articles?	1: present, 0: absent	0	Poppe (1960:1-129)			
GB024	What is the order of numeral and noun in the NP?	"multistate 1: Num-N; 2: N-Num; 3: both."	1	Poppe (1960:110)			gurban morin [three horse] ‘three horses’
GB025	What is the order of adnominal demonstrative and noun?	"multistate 1: Dem-N; 2: N-Dem; 3: both."	1	Poppe (1960:110)			ede nyxed [these comrade.??]
GB026	Can adnominal property words occur discontinuously?	1: present, 0: absent	0	Poppe (1960:1-129)	Probably not, not mentioned.		
GB027	Are nominal conjunction and comitative expressed by different elements?	1: present, 0: absent	1	Poppe (1960:33, 38)		"-aar/-tai COM suffix
ali ‘and’
-Sje conjunctional particle added to each head noun"	"morin-oor [horse-COM]
morin-toi [horse-COM]
Saazgai ba xireenyyd ‘the crow and the magpies’
alirhan-Sje nerhen-Sje yxer nyden-Sje [red.bilberry-CONJ bluberry-CONJ ?? black.currant-CONJ] ‘(There is) red bilberry as well as blueberry and black currant.’
"
GB028	Is there an inclusive/exclusive distinction?	1: present, 0: absent	0	"Poppe (1960:50); Sanzeev (1962:138)"	only diachronically: man EXCL, biden INCL, now both stems are used indiscriminately		
GB030	Is there a gender distinction in independent 3rd person pronouns?	1: present, 0: absent	0	Poppe (1960:53-)			
GB031	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?	1: present, 0: absent	0	Poppe (1960:50-53)			
GB035	Are there three or more distance contrasts in demonstratives?	1: present, 0: absent	0	"Sanzeev (1962:141-144); Poppe (1960:53-55)"			"ene ‘this’
tere ‘that’"
GB036	Do demonstratives show an elevation distinction?	1: present, 0: absent	0	Poppe (1960:53-55)			
GB037	Do demonstratives show a visible-nonvisible distinction?	1: present, 0: absent	0	Poppe (1960:53-55)			
GB038	Are there demonstrative classifiers?	1: present, 0: absent	0	Poppe (1960:1-129)			
GB039	Is there nonphonological allomorphy of noun number markers?	1: present, 0: absent	0	Poppe (1960:35)	The allomorphy seems to be phonological		
GB041	Are there several nouns (more than three) which are suppletive for number?	1: present, 0: absent	0	Poppe (1960:1-129)			
GB042	Is there productive overt morphological singular marking on nouns?	1: present, 0: absent	0	Poppe (1960:32)			
GB043	Is there productive morphological dual marking on nouns?	1: present, 0: absent	0	Poppe (1960:32)			
GB044	Is there productive morphological plural marking on nouns?	1: present, 0: absent	1	Poppe (1960:32)	there are multiple plural suffixes, and each noun can take one of these		xada [mountain] - xada-nuud [mountain-PL]
GB046	Is there an associative plural marker for nouns?	1: present, 0: absent	0	Poppe (1960:87-88)	There are collective markers, but they are not inline with the definition of the feature.		
GB047	Is there a productive morphological pattern for deriving an action/state noun from a verb?	1: present, 0: absent	1	"Sanzeev (1962:51); Poppe (1960:61-63, 89)"		"-xa, -aa
-aal, -aan, -dal, -dan, -l and other"	"jaba-xa [go-ACTION] ‘going’
yxe-l [die-ACTION] ‘death’
enee-den [laugh-ACTION] ‘laughter’"
