Grambank ID	Feature	Possible Values	Value	Source	Comment	Detailed comment	Example
GB020	Are there definite or specific articles?	1: present, 0: absent	0	Nedjalkov (1997:1-325)			
GB021	Do indefinite nominals commonly have indefinite articles?	1: present, 0: absent	0	Nedjalkov (1997:1-325)			
GB022	Are there prenominal articles?	1: present, 0: absent	0	Nedjalkov (1997:1-325)			
GB023	Are there postnominal articles?	1: present, 0: absent	0	Nedjalkov (1997:1-325)			
GB024	What is the order of numeral and noun in the NP?	multistate 1: Num-N; 2: N-Num; 3: both.	1	Nedjalkov (1997:282)			"ilan-ma oro-r-vo
three-ACC reindeer-PL-ACC.DEF
‘three reindeer’"
GB025	What is the order of adnominal demonstrative and noun?	multistate 1: Dem-N; 2: N-Dem; 3: both.	1	Bulatova (1999:57)			"eri-l bira-l-va
this-PL river-PL-ACC
‘these rivers’"
GB026	Can adnominal property words occur discontinuously?	1: present, 0: absent	?	Bulatova (1999:18, 57)	Not mentioned.		
GB027	Are nominal conjunction and comitative expressed by different elements?	1: present, 0: absent	1	Nedjalkov (1997:90-91, 315); Bulatova (1999:12, 56)		"Bulatova:
coordination: taduk
comitative: -nun/-nan
Nedjalkov:
comitative: -chi"	"bi: əkin-nu:n-mi: təwlə:-m
1SG sister-COM-REFL.SG collect.berries-1SG
‘I went with my sister to pick berries.’
bi: taduk girki-w ollo-mo:-čo:-wun
1SG and.then friend-POSS.1SG fish-go-PST-1PL.EXCL
‘My friend and I went fishing.’"
GB028	Is there an inclusive/exclusive distinction?	1: present, 0: absent	1	Nedjalkov (1997:196); Bulatova (1999:21-22)			"bu 1PL.EXCL
mit 1PL.INCL"
GB030	Is there a gender distinction in independent 3rd person pronouns?	1: present, 0: absent	0	Bulatova (1999:21)			
GB031	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?	1: present, 0: absent	0	Bulatova (1999:21)			
GB035	Are there three or more distance contrasts in demonstratives?	1: present, 0: absent	0	Nedjalkov (1997:211)		two-way distinction	"er(i) ‘this’
tar(i) ‘that’"
GB036	Do demonstratives show an elevation distinction?	1: present, 0: absent	0	Nedjalkov (1997:211)			
GB037	Do demonstratives show a visible-nonvisible distinction?	1: present, 0: absent	0	Nedjalkov (1997:211)			
GB038	Are there demonstrative classifiers?	1: present, 0: absent	0	Nedjalkov (1997:1-325)			
GB039	Is there nonphonological allomorphy of noun number markers?	1: present, 0: absent	0	Bulatova (1999:6)	“The primary plural suffix is -l. It is joined directly to stems ending in a vowel. […] With stems which end in a consonant, the vowel -i is used to affix the morpheme to the base. An exception is nouns ending in the consonant -n: this -n is dropped and the plural morpheme -r is added instead of -l.”		"urə mountain.SG - urə-l mountain-PL
adil net.SG - adili-l net-PL
oron deer.SG - oro-r deer-PL"
GB041	Are there several nouns (more than three) which are suppletive for number?	1: present, 0: absent	0	Nedjalkov (1997:1-325)	Not mentioned.		
GB042	Is there productive overt morphological singular marking on nouns?	1: present, 0: absent	0	Bulatova (1999:6)		“[…] the marking for the singular is a zero morpheme.”	
GB043	Is there productive morphological dual marking on nouns?	1: present, 0: absent	0	Bulatova (1999:6)			
GB044	Is there productive morphological plural marking on nouns?	1: present, 0: absent	1	Bulatova (1999:6)		“The primary plural suffix is -l. It is joined directly to stems ending in a vowel. […] With stems which end in a consonant, the vowel -i is used to affix the morpheme to the base. An exception is nouns ending in the consonant -n: this -n is dropped and the plural morpheme -r is added instead of -l.”	"urə mountain.SG - urə-l mountain-PL
adil net.SG - adili-l net-PL
oron deer.SG - oro-r deer-PL"
GB046	Is there an associative plural marker for nouns?	1: present, 0: absent	1	Nedjalkov (1997:142)		-(j)a	"ami-ja
father-ASS
‘father and his relatives’"
GB047	Is there a productive morphological pattern for deriving an action/state noun from a verb?	1: present, 0: absent	1	Nedjalkov (1997:298); Bulatova (1999:27)		"-n
-r"	"kusi-n
fight-NMLZ
‘a fight’
soŋo-r
weep-NMLZ
‘weeping’"
GB048	Is there a productive morphological pattern for deriving an agent noun from a verb?	1: present, 0: absent	1	Nedjalkov (1997:298); Bulatova (1999:16)		"-mni
-la:n, -lə:n, -lo:n
-ŋa"	"alagu:-mni:
teach-NMLZ
’teacher’
duku-mni
write-NMLZ
‘writer’
ike-le:n
sing-NMLZ
‘master singer’
enel-ŋe
be.lazy-NMLZ
‘lazybones’"
GB049	Is there a productive morphological pattern for deriving an object noun from a verb?	1: present, 0: absent	1	Nedjalkov (1997:298-299)		"-vun
-ptyn"	"duku-vun
write-NMLZ
‘book/letter’
dali-ptïn
cover-NMLZ
‘cover’"
GB051	Is there a noun class/gender system where sex is a factor in class assignment?	1: present, 0: absent	0	Nedjalkov (1997:1-325)			
GB052	Is there a noun class/gender system where shape is a factor in class assignment?	1: present, 0: absent	0	Nedjalkov (1997:1-325)			
GB053	Is there a noun class/gender system where animacy is a factor in class assignment?	1: present, 0: absent	0	Nedjalkov (1997:1-325)			
GB054	Is there a noun class/gender system where plant status is a factor in class assignment?	1: present, 0: absent	0	Nedjalkov (1997:1-325)			
GB057	Are there numeral classifiers?	1: present, 0: absent	1	Nedjalkov (1997:283)		suffixes -kte and -(n)i:, gdA/-ngnA	"nadan-i: ‘seven people (together)’
nada-ngna ‘seven objects (together)'"
GB058	Are there possessive classifiers?	1: present, 0: absent	0	Nedjalkov (1997:1-325)			
GB059	Is the adnominal possessive construction different for alienable and inalienable nouns?	1: present, 0: absent	1	Nedjalkov (1997:124-125); Bulatova (1999:13-14)			"dil-iw
head-POSS.1SG
‘my head’
dili-ŋi-w
head-ALIEN-POSS.1SG
‘the head (of the animal) which belongs to me’"
GB065	What is the pragmatically unmarked order of adnominal possessor noun and possessed noun?	multistate 1:Possessor-Possessed; 2:Possessed-Possessor; 3: both	3	Bulatova (1999:13-14, 57); Nedjalkov (1997:143-145)			"min-ŋi: girki-w
POSS.1SG-ALIEN.POSS friend-1SG ‘my friend’
sin-ŋi: girki-w
POSS.2SG-ALIEN.POSS friend-2SG ‘your friend’"
GB068	Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?	1: present, 0: absent	0	Bulatova (1999:18)			"tar mo: gugda
that tree tall
‘that tree is tall’"
