Grambank ID	Feature	Possible Values	Value	Source	Comment	Detailed comment	Example
GB020	Are there definite or specific articles?	1: present, 0: absent	0	Pokrovskaja (1964)			
GB021	Do indefinite nominals commonly have indefinite articles?	1: present, 0: absent	0	Pokrovskaja (1964:125)	they are not obligatory, but possible		
GB022	Are there prenominal articles?	1: present, 0: absent	1	Pokrovskaja (1964:125)	an indefinite article	bir	"ben-im karšïm-da oturar-dï jaš-ta bir adam
1SG-GEN face-LOC sit-PST year-LOC one man
‘In front of me an elderly man was sitting.’"
GB023	Are there postnominal articles?	1: present, 0: absent	0	Pokrovskaja (1964)			
GB024	What is the order of numeral and noun in the NP?	"multistate 1: Num-N; 2: N-Num; 3: both."	1	Pokrovskaja (1964:109)			"üč gün
three day
‘three days’"
GB025	What is the order of adnominal demonstrative and noun?	"multistate 1: Dem-N; 2: N-Dem; 3: both."	1	Pokrovskaja (1964:131-132)			"bu insan
this human
‘this man’"
GB026	Can adnominal property words occur discontinuously?	1: present, 0: absent	?	Pokrovskaja (1964)	Not mentioned.		
GB027	Are nominal conjunction and comitative expressed by different elements?	1: present, 0: absent	0	Pokrovskaja (1964:270-271)		-lan/-nan etc.	"ön diptä otur-er bobaj-lan o:l
front side sit-PRS father-COM son
‘In front [of the cart], a father with his son / a father and his son is sitting.’"
GB028	Is there an inclusive/exclusive distinction?	1: present, 0: absent	0	Pokrovskaja (1964:127-128)			
GB030	Is there a gender distinction in independent 3rd person pronouns?	1: present, 0: absent	0	Pokrovskaja (1964:127-128)			
GB031	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?	1: present, 0: absent	0	Pokrovskaja (1964:127-128)			
GB035	Are there three or more distance contrasts in demonstratives?	1: present, 0: absent	0	Pokrovskaja (1964:131-132)		šu is used only in emphatic deictic function	"bu ‘this’
o ‘that’"
GB036	Do demonstratives show an elevation distinction?	1: present, 0: absent	0	Pokrovskaja (1964:131-138)			
GB037	Do demonstratives show a visible-nonvisible distinction?	1: present, 0: absent	0	Pokrovskaja (1964:131-138)			
GB038	Are there demonstrative classifiers?	1: present, 0: absent	0	Pokrovskaja (1964)			
GB039	Is there nonphonological allomorphy of noun number markers?	1: present, 0: absent	0	Pokrovskaja (1964:108-109)			
GB041	Are there several nouns (more than three) which are suppletive for number?	1: present, 0: absent	0	Pokrovskaja (1964)			
GB042	Is there productive overt morphological singular marking on nouns?	1: present, 0: absent	0	Pokrovskaja (1964:108-109)			
GB043	Is there productive morphological dual marking on nouns?	1: present, 0: absent	0	Pokrovskaja (1964:108-109)			
GB044	Is there productive morphological plural marking on nouns?	1: present, 0: absent	1	Pokrovskaja (1964:108)		-lar/-lär/-nar/-när	"dere-lar
river-PL
‘rivers’"
GB046	Is there an associative plural marker for nouns?	1: present, 0: absent	1	Pokrovskaja (1964:108)			"saška-lar-a
Sashka-ASS-DAT
‘to Sashka’s relatives’"
GB047	Is there a productive morphological pattern for deriving an action/state noun from a verb?	1: present, 0: absent	1	Pokrovskaja (1964:95)		-mak/-mäk/-mek	"jaša-mak
live-NMLZ
‘life’"
GB048	Is there a productive morphological pattern for deriving an agent noun from a verb?	1: present, 0: absent	1	Pokrovskaja (1964:154)		-ži	"eki-ži
sow-NMLZ
‘sower'"
GB049	Is there a productive morphological pattern for deriving an object noun from a verb?	1: present, 0: absent	1	Pokrovskaja (1964:94)		"-k
-mak"	"jala-k
lick-NMLZ
‘a stone trough for pigs’
döše-k
spread-NMLZ
‘bed, linen, mat’
i-mäk
eat-NMLZ
‘food'"
GB051	Is there a noun class/gender system where sex is a factor in class assignment?	1: present, 0: absent	0	Pokrovskaja (1964)			
GB052	Is there a noun class/gender system where shape is a factor in class assignment?	1: present, 0: absent	0	Pokrovskaja (1964)			
GB053	Is there a noun class/gender system where animacy is a factor in class assignment?	1: present, 0: absent	0	Pokrovskaja (1964)			
GB054	Is there a noun class/gender system where plant status is a factor in class assignment?	1: present, 0: absent	0	Pokrovskaja (1964)			
GB057	Are there numeral classifiers?	1: present, 0: absent	0	Pokrovskaja (1964)			
GB058	Are there possessive classifiers?	1: present, 0: absent	0	Pokrovskaja (1964)			
GB059	Is the adnominal possessive construction different for alienable and inalienable nouns?	1: present, 0: absent	0	Pokrovskaja (1964:109-113)			
GB065	What is the pragmatically unmarked order of adnominal possessor noun and possessed noun?	"multistate 1:Possessor-Possessed; 2:Possessed-Possessor; 3: both"	3	Pokrovskaja (1964:110, 112)			"boba-m
father-1SG
‘my father’
ben-im ev-lär
1SG-GEN house-PL
‘my houses’"
GB068	Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?	1: present, 0: absent	1	Pokrovskaja (1964:156)			"šen-di-m
merry-PST-1SG
‘I was merry.’"
GB069	"Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?"	1: present, 0: absent	0	Pokrovskaja (1964:203)			"ben-im zavalï boba-m kendi-nin genčili:n-dä ü:ren-miš-ti kemenče-dä čal-ma:
1SG-GEN.1SG poor father-1SG.POSS REFL-GEN youth-LOC learn-PST-3SG violin-LOC play-INF
‘My poor father learnt to play the violin in his youth.’"
GB070	Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?	1: present, 0: absent	1	Pokrovskaja (1964:114, 116)			
GB071	Are there morphological cases for pronominal core arguments (i.e. S/A/P)?	1: present, 0: absent	1	Pokrovskaja (1964:127-128)			
GB072	Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?	1: present, 0: absent	1	Pokrovskaja (1964:115-121)			
GB073	Are there morphological cases for oblique independent personal pronouns (i.e. not S/A/P)?	1: present, 0: absent	1	Pokrovskaja (1964:127-128)			
GB074	Are there prepositions?	1: present, 0: absent	0	Pokrovskaja (1964:266-277)			
GB075	Are there postpositions?	1: present, 0: absent	1	Pokrovskaja (1964:266-277)			
GB079	Do verbs have prefixes/proclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?	1: present, 0: absent	0	Pokrovskaja (1964)			
GB080	Do verbs have suffixes/enclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?	1: present, 0: absent	1	Pokrovskaja (1964:178-198)			
GB081	Is there productive infixation in verbs?	1: present, 0: absent	0	Pokrovskaja (1964)			
GB082	Is there overt morphological marking of present tense on verbs?	1: present, 0: absent	1	Pokrovskaja (1964:179-184)		-er	"gid-er-lar
go-PRS-PL
‘They are going.’"
GB083	Is there overt morphological marking on the verb dedicated to past tense?	1: present, 0: absent	1	Pokrovskaja (1964:178, 194-198)		"EVID: -dï/-di/-du/-dü
NON-EVID: -mïš/-miš/-muš/-müš"	"bän kolhoz-da išle-di-m buhgalter beš jïl
1SG kolkhoz-LOC work-PST-1SG accountant five year
‘I worked as an accountant in a kolkhoz for five years.’"
