Grambank ID	Feature	Possible Values	Value	Source	Comment	Detailed comment	Example
GB020	Are there definite or specific articles?	1: present, 0: absent	0	Wurm (1951:487-596)			
GB021	Do indefinite nominals commonly have indefinite articles?	1: present, 0: absent	0	Wurm (1951:591)			
GB022	Are there prenominal articles?	1: present, 0: absent	1	Wurm (1951:591)			
GB023	Are there postnominal articles?	1: present, 0: absent	0	Wurm (1951:591)			
GB024	What is the order of numeral and noun in the NP?	"multistate 1: Num-N; 2: N-Num; 3: both."	1	Wurm (1951:565)			"toƔz adam
nine man
‘nine men’"
GB025	What is the order of adnominal demonstrative and noun?	"multistate 1: Dem-N; 2: N-Dem; 3: both."	1	Wurm (1951:576)			
GB026	Can adnominal property words occur discontinuously?	1: present, 0: absent	?	Wurm (1951:487-596)			
GB027	Are nominal conjunction and comitative expressed by different elements?	1: present, 0: absent	1	Wurm (1951:564, 593)		"menen ‘with’
hem ‘and'"	
GB028	Is there an inclusive/exclusive distinction?	1: present, 0: absent	0	Wurm (1951:559)			
GB030	Is there a gender distinction in independent 3rd person pronouns?	1: present, 0: absent	0	Wurm (1951:559)			
GB031	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?	1: present, 0: absent	0	Wurm (1951:559)			
GB035	Are there three or more distance contrasts in demonstratives?	1: present, 0: absent	0	Wurm (1951:561)	the distinction is between ‘this’, ‘that (visible)’ and ‘that (invisible)’		
GB036	Do demonstratives show an elevation distinction?	1: present, 0: absent	0	Wurm (1951:561)			
GB037	Do demonstratives show a visible-nonvisible distinction?	1: present, 0: absent	1	Wurm (1951:561)	at least in one of the dialects		"soł ‘that (visible)’
ṷol ‘that (invisible)’"
GB038	Are there demonstrative classifiers?	1: present, 0: absent	0	Wurm (1951:487-596)			
GB039	Is there nonphonological allomorphy of noun number markers?	1: present, 0: absent	0	Wurm (1951:487-596)			
GB041	Are there several nouns (more than three) which are suppletive for number?	1: present, 0: absent	0	Wurm (1951:487-596)			
GB042	Is there productive overt morphological singular marking on nouns?	1: present, 0: absent	0	Wurm (1951:487-596)			
GB043	Is there productive morphological dual marking on nouns?	1: present, 0: absent	0	Wurm (1951:487-596)			
GB044	Is there productive morphological plural marking on nouns?	1: present, 0: absent	1	Wurm (1951:531)			
GB046	Is there an associative plural marker for nouns?	1: present, 0: absent	?	Wurm (1951:487-596)			
GB047	Is there a productive morphological pattern for deriving an action/state noun from a verb?	1: present, 0: absent	1	Wurm (1951:567)		-mus	"tur-mus
stand-NMLZ
‘life'"
GB048	Is there a productive morphological pattern for deriving an agent noun from a verb?	1: present, 0: absent	?	Wurm (1951:567)			
GB049	Is there a productive morphological pattern for deriving an object noun from a verb?	1: present, 0: absent	1	Wurm (1951:567)		-m, -k	"dže-m
eat-NMLZ
‘food’
tile-k
wish-NMLZ
‘a wish’"
GB051	Is there a noun class/gender system where sex is a factor in class assignment?	1: present, 0: absent	0	Wurm (1951:487-596)			
GB052	Is there a noun class/gender system where shape is a factor in class assignment?	1: present, 0: absent	0	Wurm (1951:487-596)			
GB053	Is there a noun class/gender system where animacy is a factor in class assignment?	1: present, 0: absent	0	Wurm (1951:487-596)			
GB054	Is there a noun class/gender system where plant status is a factor in class assignment?	1: present, 0: absent	0	Wurm (1951:487-596)			
GB057	Are there numeral classifiers?	1: present, 0: absent	0	Wurm (1951:487-596)			
GB058	Are there possessive classifiers?	1: present, 0: absent	0	Wurm (1951:487-596)			
GB059	Is the adnominal possessive construction different for alienable and inalienable nouns?	1: present, 0: absent	0	Wurm (1951:556)			
GB065	What is the pragmatically unmarked order of adnominal possessor noun and possessed noun?	"multistate 1:Possessor-Possessed; 2:Possessed-Possessor; 3: both"	3	Wurm (1951:560)			
GB068	Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?	1: present, 0: absent	?	Wurm (1951:487-596)			
GB069	"Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?"	1: present, 0: absent	?	Wurm (1951:487-596)			
GB070	Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?	1: present, 0: absent	1	Wurm (1951:556-557)			
GB071	Are there morphological cases for pronominal core arguments (i.e. S/A/P)?	1: present, 0: absent	1	Wurm (1951:559)			
GB072	Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?	1: present, 0: absent	1	Wurm (1951:556-557)			
GB073	Are there morphological cases for oblique independent personal pronouns (i.e. not S/A/P)?	1: present, 0: absent	1	Wurm (1951:559)			
GB074	Are there prepositions?	1: present, 0: absent	0	Wurm (1951:564)			
GB075	Are there postpositions?	1: present, 0: absent	1	Wurm (1951:564)			
GB079	Do verbs have prefixes/proclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?	1: present, 0: absent	0	Wurm (1951:487-596)			
GB080	Do verbs have suffixes/enclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?	1: present, 0: absent	1	Wurm (1951:570-576)			
GB081	Is there productive infixation in verbs?	1: present, 0: absent	0	Wurm (1951:487-596)			
GB082	Is there overt morphological marking of present tense on verbs?	1: present, 0: absent	1	Wurm (1951:572)		-a/-e/-j	"bar-a-man
go-PRS-1SG
‘I go.’"
GB083	Is there overt morphological marking on the verb dedicated to past tense?	1: present, 0: absent	1	Wurm (1951:569)		-di	
GB084	Is there overt morphological marking on the verb dedicated to future tense?	1: present, 0: absent	0	Wurm (1951:572-573)	non-past (not dedicated)	-er/-ar	
GB086	Is a morphological distinction between perfective and imperfective aspect available on verbs?	1: present, 0: absent	1	Wurm (1951:580)		-atїr	"bir šopan ötüp bar-atїr edi
one shepherd"
GB089	Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?	1: present, 0: absent	1	Wurm (1951:570-576)			
GB090	Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?	1: present, 0: absent	0	Wurm (1951:570-576)			
GB091	Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?	1: present, 0: absent	1	Wurm (1951:570-576)			
GB092	Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?	1: present, 0: absent	0	Wurm (1951:570-576)			
GB093	Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?	1: present, 0: absent	0	Wurm (1951:570-576)			
GB094	Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?	1: present, 0: absent	0	Wurm (1951:570-576)			
GB095	Are variations in marking strategies of core participants based on TAM distinctions?	1: present, 0: absent	0	Wurm (1951:487-596)			
GB096	Are variations in marking strategies of core participants based on verb classes?	1: present, 0: absent	0	Wurm (1951:487-596)			
GB098	Are variations in marking strategies of core participants based on person distinctions?	1: present, 0: absent	0	Wurm (1951:487-596)			
GB099	Can verb stems alter according to the person of a core participant?	1: present, 0: absent	0	Wurm (1951:487-596)			
GB103	Is there a benefactive applicative marker on the verb (including indexing)?	1: present, 0: absent	0	Wurm (1951:487-596)			
GB104	Is there an instrumental applicative marker on the verb (including indexing)?	1: present, 0: absent	0	Wurm (1951:487-596)			
GB105	Can the recipient in a ditransitive construction be marked like the monotransitive patient?	1: present, 0: absent	0	Wurm (1951:556-557)			
GB107	Can standard negation be marked by an affix, clitic or modification of the verb?	1: present, 0: absent	1	Wurm (1951:569)		-ma/-me/-be/-pe	
GB108	Is there directional or locative morphological marking on verbs?	1: present, 0: absent	0	Wurm (1951:487-596)			
GB109	Is there verb suppletion for participant number?	1: present, 0: absent	0	Wurm (1951:487-596)			
GB110	Is there verb suppletion for tense or aspect?	1: present, 0: absent	0	Wurm (1951:487-596)			
GB111	Are there conjugation classes?	1: present, 0: absent	0	Wurm (1951:487-596)			
GB113	Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?	1: present, 0: absent	1	Wurm (1951:589)		"isle-t
work-CAUS
‘to make work’"	
GB114	Is there a phonologically bound reflexive marker on the verb?	1: present, 0: absent	1	Wurm (1951:589)		-in	
GB115	Is there a phonologically bound reciprocal marker on the verb?	1: present, 0: absent	1	Wurm (1951:589)		-is	
GB116	Do verbs classify the shape, size or consistency of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?	1: present, 0: absent	0	Wurm (1951:487-596)			
GB117	Is there a copula for predicate nominals?	1: present, 0: absent	?	Wurm (1951:487-596)			
GB118	Are there serial verb constructions?	1: present, 0: absent	0	Wurm (1951:487-596)			
GB119	"Can mood be marked by an inflecting word (""auxiliary verb"")?"	1: present, 0: absent	1	Wurm (1951:590)		converb -e/-a + al- ‘to take’	
GB120	"Can aspect be marked by an inflecting word (""auxiliary verb"")?"	1: present, 0: absent	1	Wurm (1951:586-587)			
GB121	"Can tense be marked by an inflecting word (""auxiliary verb"")?"	1: present, 0: absent	1	Wurm (1951:575)			
