Grambank ID	Feature	Possible Values	Value	Source	Comment	Detailed comment	Example
GB020	Are there definite or specific articles?	1: present, 0: absent	0	Kara (2002:1-56)			
GB021	Do indefinite nominals commonly have indefinite articles?	1: present, 0: absent	0	Kara (2002:1-56)			
GB022	Are there prenominal articles?	1: present, 0: absent	?	Kara (2002:1-56)	Not mentioned.		
GB023	Are there postnominal articles?	1: present, 0: absent	0	Kara (2002:1-56)			
GB024	What is the order of numeral and noun in the NP?	"multistate 1: Num-N; 2: N-Num; 3: both."	1	Kara (2002:29)			"bir küni
one day
‘one day’"
GB025	What is the order of adnominal demonstrative and noun?	"multistate 1: Dem-N; 2: N-Dem; 3: both."	1	Kara (2002:24)			"bul žer-de
this place-LOC
‘at this place’"
GB026	Can adnominal property words occur discontinuously?	1: present, 0: absent	?	Kara (2002:1-56)	Not mentioned.		
GB027	Are nominal conjunction and comitative expressed by different elements?	1: present, 0: absent	0	Kara (2002:34, 36)	there are two coordinative conjunctions, one of which is identical with the comitative postposition		men ‘with/and’
GB028	Is there an inclusive/exclusive distinction?	1: present, 0: absent	0	Kara (2002:23)			
GB030	Is there a gender distinction in independent 3rd person pronouns?	1: present, 0: absent	0	Kara (2002:23)			
GB031	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?	1: present, 0: absent	0	Kara (2002:23)			
GB035	Are there three or more distance contrasts in demonstratives?	1: present, 0: absent	1	Kara (2002:24)			"bul ‘this', osï ‘this right here’, sol ‘that over there’, ol ‘that’
colloquial language: myna/mynaw ‘this’, ana/anaw ‘that’, tuw ‘that one far away’"
GB036	Do demonstratives show an elevation distinction?	1: present, 0: absent	0	Kara (2002:24)			
GB037	Do demonstratives show a visible-nonvisible distinction?	1: present, 0: absent	0	Kara (2002:24)			
GB038	Are there demonstrative classifiers?	1: present, 0: absent	0	Kara (2002:1-56)			
GB039	Is there nonphonological allomorphy of noun number markers?	1: present, 0: absent	0	Kara (2002:18)			
GB041	Are there several nouns (more than three) which are suppletive for number?	1: present, 0: absent	0	Kara (2002:1-56)			
GB042	Is there productive overt morphological singular marking on nouns?	1: present, 0: absent	0	Kara (2002:18)			
GB043	Is there productive morphological dual marking on nouns?	1: present, 0: absent	0	Kara (2002:18)			
GB044	Is there productive morphological plural marking on nouns?	1: present, 0: absent	1	Kara (2002:18)			
GB046	Is there an associative plural marker for nouns?	1: present, 0: absent	?	Kara (2002:1-56)	Not mentioned.		
GB047	Is there a productive morphological pattern for deriving an action/state noun from a verb?	1: present, 0: absent	1	Peacecorps (1995:13)			"bas-pa
press-NMLZ
‘pressure, printing, press’"
