Grambank ID	Feature	Possible Values	Value	Source	Comment	Detailed comment	Example
GB020	Are there definite or specific articles?	1: present, 0: absent	1	Janhunen (2003:93)	“As elsewhere in Mongolic, the suffixes sg. 2p. -cini and 3p. -ni are frequently used without direct reference to a possessor. In such use they are probably best analysed as deictic determinants connected with the category of definiteness.”		
GB021	Do indefinite nominals commonly have indefinite articles?	1: present, 0: absent	0	Janhunen (2003:83-99)			
GB022	Are there prenominal articles?	1: present, 0: absent	0	Janhunen (2003:83-99)			
GB023	Are there postnominal articles?	1: present, 0: absent	1	Janhunen (2003:93)	“As elsewhere in Mongolic, the suffixes sg. 2p. -cini and 3p. -ni are frequently used without direct reference to a possessor. In such use they are probably best analysed as deictic determinants connected with the category of definiteness.”		
GB024	What is the order of numeral and noun in the NP?	"multistate 1: Num-N; 2: N-Num; 3: both."	1	Janhunen (2003:90, 97)			
GB025	What is the order of adnominal demonstrative and noun?	"multistate 1: Dem-N; 2: N-Dem; 3: both."	1	"Janhunen (2003:92, 97); Janhunen (2005:38)"			
GB026	Can adnominal property words occur discontinuously?	1: present, 0: absent	0	Janhunen (2003:97)			
GB027	Are nominal conjunction and comitative expressed by different elements?	1: present, 0: absent	?	Janhunen (2003:83-99)			
GB028	Is there an inclusive/exclusive distinction?	1: present, 0: absent	1	Janhunen (2005:37)			
GB030	Is there a gender distinction in independent 3rd person pronouns?	1: present, 0: absent	0	Janhunen (2005:38)			
GB031	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?	1: present, 0: absent	0	Janhunen (2005:37)			
GB035	Are there three or more distance contrasts in demonstratives?	1: present, 0: absent	0	Janhunen (2003:92)			
GB036	Do demonstratives show an elevation distinction?	1: present, 0: absent	0	Janhunen (2003:92)			
GB037	Do demonstratives show a visible-nonvisible distinction?	1: present, 0: absent	0	Janhunen (2003:92)			
GB038	Are there demonstrative classifiers?	1: present, 0: absent	0	Janhunen (2003:83-99)			
GB039	Is there nonphonological allomorphy of noun number markers?	1: present, 0: absent	0	Janhunen (2005:33-34)			
