Grambank ID	Feature	Possible Values	Value	Source	Comment	Detailed comment	Example
GB020	Are there definite or specific articles?	1: present, 0: absent	0	Sohn (1994:276-278)		ku	
GB021	Do indefinite nominals commonly have indefinite articles?	1: present, 0: absent	0	Sohn (1999:265)			
GB022	Are there prenominal articles?	1: present, 0: absent	0	Sohn (1999:265)			
GB023	Are there postnominal articles?	1: present, 0: absent	0	Sohn (1999:265)			
GB024	What is the order of numeral and noun in the NP?	"multistate 1: Num-N; 2: N-Num; 3: both."	2	Sohn (1999:265, 296)			"haksayng twu myeng
[student two person]
‘two students'"
GB025	What is the order of adnominal demonstrative and noun?	"multistate 1: Dem-N; 2: N-Dem; 3: both."	1	Sohn (1999:205, 265)			
GB026	Can adnominal property words occur discontinuously?	1: present, 0: absent	?	Sohn (1994:1-430)	Not mentioned.		
GB027	Are nominal conjunction and comitative expressed by different elements?	1: present, 0: absent	0	Sohn (1999:213-214)		"wa/kwa, mye/imye, hamye, lang/ilang, hako ‘and’
ha/wka, hako, lang/ilang ‘with’"	
GB028	Is there an inclusive/exclusive distinction?	1: present, 0: absent	0	Sohn (1999:207)			
GB030	Is there a gender distinction in independent 3rd person pronouns?	1: present, 0: absent	0	Sohn (1999:207)			
GB031	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?	1: present, 0: absent	0	Sohn (1999:207)			
GB035	Are there three or more distance contrasts in demonstratives?	1: present, 0: absent	1	Sohn (1999:210)			"i ‘this’
ku ‘that (close to hearer or known both to speaker and hearer)’
ce 'that over there'"
GB036	Do demonstratives show an elevation distinction?	1: present, 0: absent	0	Sohn (1999:210)			
GB037	Do demonstratives show a visible-nonvisible distinction?	1: present, 0: absent	0	Sohn (1999:210)			
GB038	Are there demonstrative classifiers?	1: present, 0: absent	0	Sohn (1994:1-430)			
GB039	Is there nonphonological allomorphy of noun number markers?	1: present, 0: absent	?	Sohn (1994:1-430)	Not mentioned.		
GB041	Are there several nouns (more than three) which are suppletive for number?	1: present, 0: absent	0	Sohn (1994:1-430)			
GB042	Is there productive overt morphological singular marking on nouns?	1: present, 0: absent	0	Sohn (1994:1-430)			
GB043	Is there productive morphological dual marking on nouns?	1: present, 0: absent	0	Sohn (1994:1-430)			
GB044	Is there productive morphological plural marking on nouns?	1: present, 0: absent	1	Sohn (1999:231)		-tul	"kilum-tul
oil-PL
‘different kinds of oil’"
GB046	Is there an associative plural marker for nouns?	1: present, 0: absent	1	Sohn (1999:222)		-ney	Mia-ney ‘Mia's family’
GB047	Is there a productive morphological pattern for deriving an action/state noun from a verb?	1: present, 0: absent	1	Sohn (1999:223)		-i, -(u)m, -em	
GB048	Is there a productive morphological pattern for deriving an agent noun from a verb?	1: present, 0: absent	1	Sohn (1999:223)		-(k)ay, -key, -po	
GB049	Is there a productive morphological pattern for deriving an object noun from a verb?	1: present, 0: absent	1	Sohn (1999:223)		-i	
GB051	Is there a noun class/gender system where sex is a factor in class assignment?	1: present, 0: absent	0	Sohn (1994:1-430)			
GB052	Is there a noun class/gender system where shape is a factor in class assignment?	1: present, 0: absent	0	Sohn (1994:1-430)			
GB053	Is there a noun class/gender system where animacy is a factor in class assignment?	1: present, 0: absent	0	Sohn (1994:1-430)			
GB054	Is there a noun class/gender system where plant status is a factor in class assignment?	1: present, 0: absent	0	Sohn (1994:1-430)			
GB057	Are there numeral classifiers?	1: present, 0: absent	1	Sohn (1999:205, 296)			mali - animals, chay - houses, calwu - long slender objects
GB058	Are there possessive classifiers?	1: present, 0: absent	0	Sohn (1994:1-430)			
GB059	Is the adnominal possessive construction different for alienable and inalienable nouns?	1: present, 0: absent	0	Sohn (1994:176)			
GB065	What is the pragmatically unmarked order of adnominal possessor noun and possessed noun?	"multistate 1:Possessor-Possessed; 2:Possessed-Possessor; 3: both"	1	Sohn (1999:174, 204)			"na uy yenphil
[1SG GEN pencil]
‘my pencil’"
GB068	Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?	1: present, 0: absent	1	Sohn (1999:209, 275, 366)			"Milan.i nun ap-ass-ta ko hay-ss-ta
Milan TOP sick-PST-DC QT say-PST-DC
‘Milan said that she had been sick.'"
GB069	"Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?"	1: present, 0: absent	1	Sohn (1994:111)			
GB070	Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?	1: present, 0: absent	1	Sohn (1994:230-231)			
GB071	Are there morphological cases for pronominal core arguments (i.e. S/A/P)?	1: present, 0: absent	0	Sohn (1994:281)			
GB072	Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?	1: present, 0: absent	1	Sohn (1994:230-231)			
GB073	Are there morphological cases for oblique independent personal pronouns (i.e. not S/A/P)?	1: present, 0: absent	1	Sohn (1994:281)			
GB074	Are there prepositions?	1: present, 0: absent	0	Sohn (1999:204, 212-213)			
GB075	Are there postpositions?	1: present, 0: absent	1	Sohn (1999:204, 212-213)			
GB079	Do verbs have prefixes/proclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?	1: present, 0: absent	0	"Sohn (1999:216); Sohn (2015:324) Grammaticalization"			
GB080	Do verbs have suffixes/enclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?	1: present, 0: absent	1	"Sohn (1999:216, 265); Sohn (2015:324) Grammaticalization"			
GB081	Is there productive infixation in verbs?	1: present, 0: absent	0	Sohn (1994:1-430)			
GB082	Is there overt morphological marking of present tense on verbs?	1: present, 0: absent	0	Sohn (1999:233)			
GB083	Is there overt morphological marking on the verb dedicated to past tense?	1: present, 0: absent	1	Sohn (1999:233)		-(e/a)ss	
GB084	Is there overt morphological marking on the verb dedicated to future tense?	1: present, 0: absent	1	Sohn (1999:233-234)	it is described as ‘prospective mood’	-(u)l(i)	
GB086	Is a morphological distinction between perfective and imperfective aspect available on verbs?	1: present, 0: absent	0	"Sohn (1999:275, 303, 386-388); Sohn (2015:324) Grammaticalization"			
GB089	Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?	1: present, 0: absent	0	Sohn (1994:1-430)			
GB090	Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?	1: present, 0: absent	0	Sohn (1994:1-430)			
GB091	Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?	1: present, 0: absent	0	Sohn (1994:1-430)			
GB092	Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?	1: present, 0: absent	0	Sohn (1994:1-430)			
GB093	Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?	1: present, 0: absent	0	Sohn (1994:1-430)			
GB094	Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?	1: present, 0: absent	0	Sohn (1994:1-430)			
GB095	Are variations in marking strategies of core participants based on TAM distinctions?	1: present, 0: absent	0	"Sohn (1994:229-263); Sohn (1999:277-280)"			
GB096	Are variations in marking strategies of core participants based on verb classes?	1: present, 0: absent	0	"Sohn (1994:229-263); Sohn (1999:277-280)"			
GB098	Are variations in marking strategies of core participants based on person distinctions?	1: present, 0: absent	0	"Sohn (1994:229-263); Sohn (1999:277-280)"			
GB099	Can verb stems alter according to the person of a core participant?	1: present, 0: absent	0	Sohn (1994:1-430)			
GB103	Is there a benefactive applicative marker on the verb (including indexing)?	1: present, 0: absent	0	Sohn (1999:384-385)		auxiliaries cwuta, tulita and ta(l)- are used instead, the main verb is in the infinitive	
GB104	Is there an instrumental applicative marker on the verb (including indexing)?	1: present, 0: absent	0	Sohn (1994:1-430)			
GB105	Can the recipient in a ditransitive construction be marked like the monotransitive patient?	1: present, 0: absent	1	Sohn (1999:280)		"patient: (l)ul
recipient: eykey, (l)ul"	
GB107	Can standard negation be marked by an affix, clitic or modification of the verb?	1: present, 0: absent	1	Sohn (1999:388-394)		prefix an-	"ape-nim un ka-ci an-h-usy-e
[father-HON TOP go-NOM NEG-do-HON.SBJ-INT]
‘Father is not going.’"
GB108	Is there directional or locative morphological marking on verbs?	1: present, 0: absent	0	Sohn (1994:1-430)			
GB109	Is there verb suppletion for participant number?	1: present, 0: absent	?	Sohn (1994:1-430)	Not mentioned.		
GB110	Is there verb suppletion for tense or aspect?	1: present, 0: absent	?	Sohn (1994:1-430)	Not mentioned.		
GB111	Are there conjugation classes?	1: present, 0: absent	1	Sohn (1999:241)			
GB113	Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?	1: present, 0: absent	1	Sohn (1999:226, 373-377)			
GB114	Is there a phonologically bound reflexive marker on the verb?	1: present, 0: absent	1	Sohn (1994:320)		-hata	
GB115	Is there a phonologically bound reciprocal marker on the verb?	1: present, 0: absent	1	Sohn (1994:362)		mac-	
GB116	Do verbs classify the shape, size or consistency of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?	1: present, 0: absent	0	Sohn (1994:1-430)			
GB117	Is there a copula for predicate nominals?	1: present, 0: absent	1	Sohn (1999:281)			
GB118	Are there serial verb constructions?	1: present, 0: absent	1	Sohn (1999:380-381)			
GB119	"Can mood be marked by an inflecting word (""auxiliary verb"")?"	1: present, 0: absent	0	Sohn (1999:358-362)			
GB120	"Can aspect be marked by an inflecting word (""auxiliary verb"")?"	1: present, 0: absent	1	"Sohn (1999:275, 303, 386-388); Sohn (2015:324) Grammaticalization"			
