Grambank ID	Feature	Possible Values	Value	Source	Comment	Detailed comment	Example
GB020	Are there definite or specific articles?	1: present, 0: absent	0	Tsumagari (2009:1-19)			
GB021	Do indefinite nominals commonly have indefinite articles?	1: present, 0: absent	0	Tsumagari (2009:1-19)			
GB022	Are there prenominal articles?	1: present, 0: absent	0	Tsumagari (2009:1-19)			
GB023	Are there postnominal articles?	1: present, 0: absent	0	Tsumagari (2009:1-19)			
GB024	What is the order of numeral and noun in the NP?	multistate 1: Num-N; 2: N-Num; 3: both.	1	Tsumagari (2009:6)			
GB025	What is the order of adnominal demonstrative and noun?	multistate 1: Dem-N; 2: N-Dem; 3: both.	1	Tsumagari (2009:7)			
GB026	Can adnominal property words occur discontinuously?	1: present, 0: absent	?	Tsumagari (2009:1-19)	Not mentioned.		
GB027	Are nominal conjunction and comitative expressed by different elements?	1: present, 0: absent	1	Tsumagari (2009:19)		"coordination: -e
comitative: -ndo:"	"sǝ:lte-e punekte-e
charcoal-and ash-and
‘charcoal and ash’
asi-muna nari
woman-POSS man
‘man with his wife'
sin-du gese
2SG-DAT together
‘with you’"
GB028	Is there an inclusive/exclusive distinction?	1: present, 0: absent	0	Tsumagari (2009:7)		bu: 1PL.INCL/EXCL	
GB030	Is there a gender distinction in independent 3rd person pronouns?	1: present, 0: absent	0	Tsumagari (2009:7)			
GB031	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?	1: present, 0: absent	0	Tsumagari (2009:7)			
GB035	Are there three or more distance contrasts in demonstratives?	1: present, 0: absent	0	Tsumagari (2009:7)		"eri ‘this’
tari ‘that'"	
GB036	Do demonstratives show an elevation distinction?	1: present, 0: absent	0	Tsumagari (2009:7)			
GB037	Do demonstratives show a visible-nonvisible distinction?	1: present, 0: absent	0	Tsumagari (2009:7)			
GB038	Are there demonstrative classifiers?	1: present, 0: absent	0	Tsumagari (2009:1-19)			
GB039	Is there nonphonological allomorphy of noun number markers?	1: present, 0: absent	0	Tsumagari (2009:6)			
GB041	Are there several nouns (more than three) which are suppletive for number?	1: present, 0: absent	?	Tsumagari (2009:1-19)	Not mentioned.		
GB042	Is there productive overt morphological singular marking on nouns?	1: present, 0: absent	0	Tsumagari (2009:6)			
GB043	Is there productive morphological dual marking on nouns?	1: present, 0: absent	0	Tsumagari (2009:6)			
GB044	Is there productive morphological plural marking on nouns?	1: present, 0: absent	0	Tsumagari (2009:6)	restricted to animates, can only in rare cases be attached to inanimates	-l, -sal	"putte ‘child’
puril ‘children’"
GB046	Is there an associative plural marker for nouns?	1: present, 0: absent	?	Tsumagari (2009:1-19)	Not mentioned.		
GB047	Is there a productive morphological pattern for deriving an action/state noun from a verb?	1: present, 0: absent	?	Tsumagari (2009:1-19)	Not mentioned.		
GB048	Is there a productive morphological pattern for deriving an agent noun from a verb?	1: present, 0: absent	?	Tsumagari (2009:1-19)	Not mentioned.		
GB049	Is there a productive morphological pattern for deriving an object noun from a verb?	1: present, 0: absent	?	Tsumagari (2009:1-19)	Not mentioned.		
GB051	Is there a noun class/gender system where sex is a factor in class assignment?	1: present, 0: absent	0	Tsumagari (2009:1-19)			
GB052	Is there a noun class/gender system where shape is a factor in class assignment?	1: present, 0: absent	0	Tsumagari (2009:1-19)			
GB053	Is there a noun class/gender system where animacy is a factor in class assignment?	1: present, 0: absent	0	Tsumagari (2009:1-19)			
GB054	Is there a noun class/gender system where plant status is a factor in class assignment?	1: present, 0: absent	0	Tsumagari (2009:1-19)			
GB057	Are there numeral classifiers?	1: present, 0: absent	0	Tsumagari (2009:1-19)			
GB058	Are there possessive classifiers?	1: present, 0: absent	0	Tsumagari (2009:1-19)			
GB059	Is the adnominal possessive construction different for alienable and inalienable nouns?	1: present, 0: absent	1	Tsumagari (2009:6)	“To such inalienable category belong the nouns meaning the parts of human body, relatives, clothing, utensils, and domestic animals etc“	-ŋu-	"ulise-bi
flesh-1SG
‘my flesh’
ulise-ŋu-bi
flesh-ALIEN-1SG
‘my meat’"
GB065	What is the pragmatically unmarked order of adnominal possessor noun and possessed noun?	multistate 1:Possessor-Possessed; 2:Possessed-Possessor; 3: both	3	Tsumagari (2009:11)			"sin-i suŋdatta-ŋu-si
2SG-GEN fish-ALIEN-2SG
‘your fish’"
GB068	Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?	1: present, 0: absent	0	Tsumagari (2009:12)			"jedu namauli bič-či
here warm be-PST
‘It was warm here.’"
GB069	Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?	1: present, 0: absent	0	Tsumagari (2009:10)			"aja ula:
good reindeer
‘a good reindeer’"
