Grambank ID	Feature	Possible Values	Value	Source	Comment	Detailed comment	Example
GB020	Are there definite or specific articles?	1: present, 0: absent	0	Dyrenkova (1941:1-304)			
GB021	Do indefinite nominals commonly have indefinite articles?	1: present, 0: absent	0	Dyrenkova (1941:1-304)			
GB022	Are there prenominal articles?	1: present, 0: absent	0	Dyrenkova (1941:1-304)			
GB023	Are there postnominal articles?	1: present, 0: absent	0	Dyrenkova (1941:1-304)			
GB024	What is the order of numeral and noun in the NP?	"multistate 1: Num-N; 2: N-Num; 3: both."	1	Dyrenkova (1941:102-104)			"altï kiži
[ten person]
‘ten people'"
GB025	What is the order of adnominal demonstrative and noun?	"multistate 1: Dem-N; 2: N-Dem; 3: both."	1	Dyrenkova (1941:86-87)			"ol kiži-ler
[that person-PL]
‘those people’"
GB026	Can adnominal property words occur discontinuously?	1: present, 0: absent	?	Fanselow (p.c. 2017)	it might be possible		
GB027	Are nominal conjunction and comitative expressed by different elements?	1: present, 0: absent	0	Dyrenkova (1941:122)	both by comitative		"pis-tiŋ aal-da škola-ba bolnica par
[1PL-GEN village-LOC school-COM hospital exist]
'There is a school and a hospital in our village.’"
GB028	Is there an inclusive/exclusive distinction?	1: present, 0: absent	0	Dyrenkova (1941:81)			
GB030	Is there a gender distinction in independent 3rd person pronouns?	1: present, 0: absent	0	Dyrenkova (1941:81)			
GB031	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?	1: present, 0: absent	0	Dyrenkova (1941:81)			
GB035	Are there three or more distance contrasts in demonstratives?	1: present, 0: absent	1	Dyrenkova (1941:86-87)			"po ‘this’
tigi ‘that’
ol 'that far away’"
GB036	Do demonstratives show an elevation distinction?	1: present, 0: absent	0	Dyrenkova (1941:86-87)			
GB037	Do demonstratives show a visible-nonvisible distinction?	1: present, 0: absent	0	Dyrenkova (1941:86-87)			
GB038	Are there demonstrative classifiers?	1: present, 0: absent	0	Dyrenkova (1941:1-304)			
GB039	Is there nonphonological allomorphy of noun number markers?	1: present, 0: absent	0	Dyrenkova (1941:38-39)	it is phonological		
GB041	Are there several nouns (more than three) which are suppletive for number?	1: present, 0: absent	0	Dyrenkova (1941:1-304)	Not mentioned.		
GB042	Is there productive overt morphological singular marking on nouns?	1: present, 0: absent	0	Dyrenkova (1941:38-39)			
GB043	Is there productive morphological dual marking on nouns?	1: present, 0: absent	0	Dyrenkova (1941:38-39)			
GB044	Is there productive morphological plural marking on nouns?	1: present, 0: absent	1	Dyrenkova (1941:26, 38-39)		-lar, -ler, -tar, -ter, -nar, -ner	"kiži-ler [person-PL]
kas-tar [goose-PL]"
GB046	Is there an associative plural marker for nouns?	1: present, 0: absent	1	Dyrenkova (1941:73)		suffix -tïg, -nïg, -lïg	"marja-lïg-a
[Marja-ASS-DAT/ILL]
‘into Marja’s family’
šolban-nïg-dï
[Sholban-ASS-ACC]
‘Sholban’s friends’"
GB047	Is there a productive morphological pattern for deriving an action/state noun from a verb?	1: present, 0: absent	1	Dyrenkova (1941:27-31)		-ïg, -ig, -ug, -üg	sat- ‘to trade’ - sadïg ‘trade’ 
GB048	Is there a productive morphological pattern for deriving an agent noun from a verb?	1: present, 0: absent	1	Dyrenkova (1941:27-31)		-aačï, -eečï	"kad-aačï
[guard-NMLZ]
‘guardian’"
GB049	Is there a productive morphological pattern for deriving an object noun from a verb?	1: present, 0: absent	1	Dyrenkova (1941:27-31)		-n, -ïn, -in	tü- ‘to tie’ - tüün ‘a tie’
GB051	Is there a noun class/gender system where sex is a factor in class assignment?	1: present, 0: absent	0	Dyrenkova (1941:35)			
GB052	Is there a noun class/gender system where shape is a factor in class assignment?	1: present, 0: absent	0	Dyrenkova (1941:35)			
GB053	Is there a noun class/gender system where animacy is a factor in class assignment?	1: present, 0: absent	0	Dyrenkova (1941:35)			
GB054	Is there a noun class/gender system where plant status is a factor in class assignment?	1: present, 0: absent	0	Dyrenkova (1941:35)			
GB057	Are there numeral classifiers?	1: present, 0: absent	0	Dyrenkova (1941:1-304)			
GB058	Are there possessive classifiers?	1: present, 0: absent	0	Dyrenkova (1941:1-304)			
GB059	Is the adnominal possessive construction different for alienable and inalienable nouns?	1: present, 0: absent	0	Dyrenkova (1941:48-51)			"tura-m
[city-1SG]
‘my city’
kol-їm
[hand-1SG]
‘my hand’"
GB065	What is the pragmatically unmarked order of adnominal possessor noun and possessed noun?	"multistate 1:Possessor-Possessed; 2:Possessed-Possessor; 3: both"	3	Dyrenkova (1941:40-42, 48-51)		Pronominal possession: Possessed-possessor.	
GB068	Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?	1: present, 0: absent	0	Dyrenkova (1941:1-304)			
GB069	"Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?"	1: present, 0: absent	0	Dyrenkova (1941:1-304)			
GB070	Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?	1: present, 0: absent	1	"Dyrenkova (1941:40-42); Kurpeshko-Tanagasheva (1993:7)"		"NOM unmarked
ACC -nï, -nu, -tï. -tu, -da, -du etc."	"pörü koj-dï kaap al-dï
[wolf sheep-ACC grasp.CONV take-PST]
‘The wolf grasped the sheep.’"
GB071	Are there morphological cases for pronominal core arguments (i.e. S/A/P)?	1: present, 0: absent	1	Dyrenkova (1941:81-82)			
GB072	Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?	1: present, 0: absent	1	"Dyrenkova (1941:42-52); Kurpeshko-Tanagasheva (1993:7)"		"DAT/ILL -ka,-ke,-ga,-ge
LOC -ta,-te,-da,-de
etc."	"čïš-ta pörü-ler ul-ča-lar
[taiga-LOC wolf-PL howl-PRS-PL]
‘The wolves are howling in the taiga.’"
GB073	Are there morphological cases for oblique independent personal pronouns (i.e. not S/A/P)?	1: present, 0: absent	1	Dyrenkova (1941:81-82)			
GB074	Are there prepositions?	1: present, 0: absent	0	Dyrenkova (1941:25)			
GB075	Are there postpositions?	1: present, 0: absent	1	Dyrenkova (1941:25, 232-234)			
GB079	Do verbs have prefixes/proclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?	1: present, 0: absent	0	Dyrenkova (1941:1-304)			
GB080	Do verbs have suffixes/enclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?	1: present, 0: absent	1	Dyrenkova (1941:180-181)			
GB081	Is there productive infixation in verbs?	1: present, 0: absent	0	Dyrenkova (1941:1-304)			
GB082	Is there overt morphological marking of present tense on verbs?	1: present, 0: absent	1	Dyrenkova (1941:193-197)	The auxiliary verb meaning ‘to lie’ , which is used to express present tense if followed by person markers only, forms a phonological word with the verb.	The auxiliary verb ča meaning ‘to lie’, which is used to express present tense if followed by person markers only, forms a phonological word with the verb.	
GB083	Is there overt morphological marking on the verb dedicated to past tense?	1: present, 0: absent	1	Dyrenkova (1941:180-181)			
GB084	Is there overt morphological marking on the verb dedicated to future tense?	1: present, 0: absent	1	Dyrenkova (1941:187-191)			
GB086	Is a morphological distinction between perfective and imperfective aspect available on verbs?	1: present, 0: absent	1	Dyrenkova (1941:191-192)	imperfective is marked	-kalak IPFV	
GB089	Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?	1: present, 0: absent	1	Dyrenkova (1941:263-264)			
GB090	Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?	1: present, 0: absent	0	Dyrenkova (1941:263-264)			
GB091	Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?	1: present, 0: absent	1	Dyrenkova (1941:54-56)			"pala-m-ga kniga perd-im
[child-1SG-DAT book give-1SG]
‘I gave my child a book.’
kniga-nї alü
[book-ACC take]
‘Take the book!’"
GB092	Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?	1: present, 0: absent	0	Dyrenkova (1941:1-304)			
GB093	Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?	1: present, 0: absent	0	Dyrenkova (1941:266-267)			
GB094	Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?	1: present, 0: absent	0	Dyrenkova (1941:266-267)			
GB095	Are variations in marking strategies of core participants based on TAM distinctions?	1: present, 0: absent	0	Dyrenkova (1941:1-304)	Not mentioned.		
GB096	Are variations in marking strategies of core participants based on verb classes?	1: present, 0: absent	0	Dyrenkova (1941:1-304)	Not mentioned.		
GB098	Are variations in marking strategies of core participants based on person distinctions?	1: present, 0: absent	0	Dyrenkova (1941:1-304)	Not mentioned.		
GB099	Can verb stems alter according to the person of a core participant?	1: present, 0: absent	0	Dyrenkova (1941:1-304)	Not mentioned.		
GB103	Is there a benefactive applicative marker on the verb (including indexing)?	1: present, 0: absent	0	Dyrenkova (1941:1-304)	Not mentioned.		
GB104	Is there an instrumental applicative marker on the verb (including indexing)?	1: present, 0: absent	0	Dyrenkova (1941:1-304)	Not mentioned.		
GB105	Can the recipient in a ditransitive construction be marked like the monotransitive patient?	1: present, 0: absent	0	Dyrenkova (1941:54-56)			"pala-m-ga kniga perd-im
[child-1SG-DAT book give-1SG]
‘I gave my child a book.’
kniga-nї alü
[book-ACC take]
‘Take the book!’"
GB107	Can standard negation be marked by an affix, clitic or modification of the verb?	1: present, 0: absent	1	Dyrenkova (1941:281-282)			
GB108	Is there directional or locative morphological marking on verbs?	1: present, 0: absent	0	Dyrenkova (1941:1-304)	Not mentioned.		
GB109	Is there verb suppletion for participant number?	1: present, 0: absent	0	Dyrenkova (1941:1-304)	Not mentioned.		
GB110	Is there verb suppletion for tense or aspect?	1: present, 0: absent	0	Dyrenkova (1941:1-304)	Not mentioned.		
GB111	Are there conjugation classes?	1: present, 0: absent	0	Dyrenkova (1941:1-304)	Not mentioned.		
GB113	Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?	1: present, 0: absent	1	Dyrenkova (1941:148-149)		"-t, -tïr, -dïr etc.
-r, -ïr etc."	karal [become.black] ‘become black’ - karal-t [become.black-CAUS] ‘make black’
GB114	Is there a phonologically bound reflexive marker on the verb?	1: present, 0: absent	1	Dyrenkova (1941:146)		-n, -ïn, -in, -un, -ün	
GB115	Is there a phonologically bound reciprocal marker on the verb?	1: present, 0: absent	1	Dyrenkova (1941:146-147)	There is a marker for a reciprocal or collective action.	-š, -ïš, -iš, -uš, -üš	"ezen menči sur-aš-tї-lar
[greeting bow ask-RECIP-PST-PL] 
‘They greeted each other.’"
GB116	Do verbs classify the shape, size or consistency of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?	1: present, 0: absent	0	Dyrenkova (1941:1-304)			
GB117	Is there a copula for predicate nominals?	1: present, 0: absent	1	Dyrenkova (1941:122, 208-209)		par	"ol čer-de ijgi karïndaš kaan-nar par
[that land-LOC two brother khan-PL exist]
‘There are two brother khans in that land.’
pis-tiŋ aal-da škola-ba bolnica par
[1PL-GEN village-LOC school-COM hospital exist]
'There is a school and a hospital in our village.’
tajga-da kadïg čïl pol-dï
[taiga-LOC hard year be-PST]
‘There was a difficult year in taiga.’"
GB118	Are there serial verb constructions?	1: present, 0: absent	1	Dyrenkova (1941:218-219)		"čїčїl par
[fall depart]
‘to fall’
ayt per
[say give]
‘to say’"	
GB119	"Can mood be marked by an inflecting word (""auxiliary verb"")?"	1: present, 0: absent	1	Dyrenkova (1941:179-180, 196-197, 215)			
