Grambank ID	Feature	Possible Values	Value	Source	Comment	Detailed comment	Example
GB020	Are there definite or specific articles?	1: present, 0: absent	0	Tsumagari (2009:1-18)			
GB021	Do indefinite nominals commonly have indefinite articles?	1: present, 0: absent	0	Tsumagari (2009:1-18)			
GB022	Are there prenominal articles?	1: present, 0: absent	0	Tsumagari (2009:1-18)			
GB023	Are there postnominal articles?	1: present, 0: absent	0	Tsumagari (2009:1-18)			
GB024	What is the order of numeral and noun in the NP?	"multistate 1: Num-N; 2: N-Num; 3: both."	1	Tsumagari (2009:11)			
GB025	What is the order of adnominal demonstrative and noun?	"multistate 1: Dem-N; 2: N-Dem; 3: both."	1	Tsumagari (2009:12)			"eri jü:
this house
‘this house’"
GB026	Can adnominal property words occur discontinuously?	1: present, 0: absent	1	Tsumagari (2009:7)			"imin do:-ni: mü:-nin aruxxun bičči antasi Imin.river-GEN water-3 clear be.PTCP sweet
‘The water of Imin river is clear and sweet.’ 
(Hu & Chaoke 1986:100)"
GB027	Are nominal conjunction and comitative expressed by different elements?	1: present, 0: absent	?	Tsumagari (2009:4, 18)	Not mentioned.	comitative: -gili:	
GB028	Is there an inclusive/exclusive distinction?	1: present, 0: absent	1	Tsumagari (2009:6)		"bü: 1PL.EXCL
miti 1PL.INCL"	
GB030	Is there a gender distinction in independent 3rd person pronouns?	1: present, 0: absent	0	Tsumagari (2009:6)			
GB031	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?	1: present, 0: absent	0	Tsumagari (2009:6)			
GB035	Are there three or more distance contrasts in demonstratives?	1: present, 0: absent	0	Tsumagari (2009:6)		There is a two-way distinction.	"eri ‘this’
tari ‘that'"
GB036	Do demonstratives show an elevation distinction?	1: present, 0: absent	0	Tsumagari (2009:6)			
GB037	Do demonstratives show a visible-nonvisible distinction?	1: present, 0: absent	0	Tsumagari (2009:6)			
GB038	Are there demonstrative classifiers?	1: present, 0: absent	0	Tsumagari (2009:1-18)			
GB039	Is there nonphonological allomorphy of noun number markers?	1: present, 0: absent	0	Tsumagari (2009:6)		suffix -sal	
GB041	Are there several nouns (more than three) which are suppletive for number?	1: present, 0: absent	?	Tsumagari (2009:6)	Not mentioned.		
GB042	Is there productive overt morphological singular marking on nouns?	1: present, 0: absent	0	Tsumagari (2009:6)			
GB043	Is there productive morphological dual marking on nouns?	1: present, 0: absent	0	Tsumagari (2009:6)			
GB044	Is there productive morphological plural marking on nouns?	1: present, 0: absent	1	Tsumagari (2009:6)			"omolə:-sal [grandson-PL]
xolə:-sal [mountain-PL]"
GB046	Is there an associative plural marker for nouns?	1: present, 0: absent	1	Tsumagari (2009:6)	There is a suffix used for indication of place or kinship of nouns, meaning ‘those who live somewhere’ and ‘someone’s family, someone and others’ respectively’.		"imin-sə:n [Imin-ASSOC] ‘those who live in Imin’
ülʤi-sə:n [Ulij-ASSOC] ‘the Uljis'"
GB047	Is there a productive morphological pattern for deriving an action/state noun from a verb?	1: present, 0: absent	?	Tsumagari (2009:1-18)	Not mentioned.		
GB048	Is there a productive morphological pattern for deriving an agent noun from a verb?	1: present, 0: absent	?	Tsumagari (2009:1-18)	Not mentioned.		
GB049	Is there a productive morphological pattern for deriving an object noun from a verb?	1: present, 0: absent	?	Tsumagari (2009:1-18)	Not mentioned.		
GB051	Is there a noun class/gender system where sex is a factor in class assignment?	1: present, 0: absent	0	Tsumagari (2009:1-18)			
GB052	Is there a noun class/gender system where shape is a factor in class assignment?	1: present, 0: absent	0	Tsumagari (2009:1-18)			
GB053	Is there a noun class/gender system where animacy is a factor in class assignment?	1: present, 0: absent	0	Tsumagari (2009:1-18)			
GB054	Is there a noun class/gender system where plant status is a factor in class assignment?	1: present, 0: absent	0	Tsumagari (2009:1-18)			
GB057	Are there numeral classifiers?	1: present, 0: absent	0	Tsumagari (2009:1-18)			
GB058	Are there possessive classifiers?	1: present, 0: absent	0	Tsumagari (2009:1-18)			
GB059	Is the adnominal possessive construction different for alienable and inalienable nouns?	1: present, 0: absent	0	Tsumagari (2009:5)			
GB065	What is the pragmatically unmarked order of adnominal possessor noun and possessed noun?	"multistate 1:Possessor-Possessed; 2:Possessed-Possessor; 3: both"	1	Tsumagari (2009:5, 11)			"xonin-i: nanda-wa:-ni
sheep-GEN skin-ACC-3SG
‘sheep skin (ACC)’
sin-i: a:wun-si
2SG-GEN hat-2SG
‘your hat’
min-i: jaxa
1SG-GEN baggage
‘my baggage’
min-i: bitig
1SG-GEN book
‘my book’"
GB068	Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?	1: present, 0: absent	0	Tsumagari (2009:7)			"imin do:-ni: mü:-nin aruxxun bičči antasi Imin.river-GEN water-3 clear be.PTCP sweet
‘The water of Imin river is clear and sweet.’ 
(Hu & Chaoke 1986:100)"
GB069	"Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?"	1: present, 0: absent	0	Tsumagari (2009:1-18)			"aja xonin-sal
good sheep-PL
‘good sheep’"
GB070	Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?	1: present, 0: absent	1	Tsumagari (2009:4)	There is a nominative, an accusative and an undefinite accusative case.		
GB071	Are there morphological cases for pronominal core arguments (i.e. S/A/P)?	1: present, 0: absent	1	Tsumagari (2009:6)			
GB072	Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?	1: present, 0: absent	1	Tsumagari (2009:4)		There are thirteen cases: Nominative, Genitive, Accusative, Indefinite Accusative, Dative, Locative, Directive, Prolative, Ablative, Elative, Delative, Instrumental, Comitative	
GB073	Are there morphological cases for oblique independent personal pronouns (i.e. not S/A/P)?	1: present, 0: absent	1	Tsumagari (2009:6)			
GB074	Are there prepositions?	1: present, 0: absent	0	Tsumagari (2009:1-18)			
GB075	Are there postpositions?	1: present, 0: absent	1	Tsumagari (2009:13)			"sire-ni: oro:n-du-ni bitig bi-si-n
desk-GEN surface-DAT-3SG book be-PRS.PTCP-3SG
‘There is a book on the desk.’"
GB079	Do verbs have prefixes/proclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?	1: present, 0: absent	0	Tsumagari (2009:1-18)			
GB080	Do verbs have suffixes/enclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?	1: present, 0: absent	1	Tsumagari (2009:1-18)			
GB081	Is there productive infixation in verbs?	1: present, 0: absent	0	Tsumagari (2009:1-18)			
GB082	Is there overt morphological marking of present tense on verbs?	1: present, 0: absent	1	Tsumagari (2009:9)	these forms are called “participles”, but they can function as a predicate in the clause and take argument indexes	-r/-ra/-da	
GB083	Is there overt morphological marking on the verb dedicated to past tense?	1: present, 0: absent	1	Tsumagari (2009:9)	these forms are called “participles”, but they can function as a predicate in the clause and take argument indexes	-sa:/-ca:	
GB084	Is there overt morphological marking on the verb dedicated to future tense?	1: present, 0: absent	1	Tsumagari (2009:9)	these forms are called “participles”, but they can function as a predicate in the clause and take argument indexes	-jiga:	
GB086	Is a morphological distinction between perfective and imperfective aspect available on verbs?	1: present, 0: absent	1	Tsumagari (2009:8)			imanda-ʤi- ‘to be snowing’
GB089	Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?	1: present, 0: absent	1	Tsumagari (2009:12-14, 16-17)			"bi: uxxe-dü i:-ʤixe:-weje, batu min-ewe tan-sa:
1SG door-DAT enter-SUC-1SG Batu 1SG-ACC notice-PST
‘As soon as I entered the door, Batu noticed me.’"
GB090	Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?	1: present, 0: absent	0	Tsumagari (2009:1-18)			
GB091	Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?	1: present, 0: absent	1	Tsumagari (2009:17)			"sin-ii jinji-saa-wa-si saa-suu you-GEN talk-PAST-ACC-2S know-PAST.1S
‘I understood what you said.’"
GB092	Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?	1: present, 0: absent	0	Tsumagari (2009:1-18)			
GB093	Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?	1: present, 0: absent	0	Tsumagari (2009:1-18)			
GB094	Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?	1: present, 0: absent	0	Tsumagari (2009:1-18)			
GB095	Are variations in marking strategies of core participants based on TAM distinctions?	1: present, 0: absent	0	Tsumagari (2009:1-18)			
GB096	Are variations in marking strategies of core participants based on verb classes?	1: present, 0: absent	0	Tsumagari (2009:1-18)			
GB098	Are variations in marking strategies of core participants based on person distinctions?	1: present, 0: absent	0	Tsumagari (2009:1-18)			
GB099	Can verb stems alter according to the person of a core participant?	1: present, 0: absent	0	Tsumagari (2009:1-18)			
GB103	Is there a benefactive applicative marker on the verb (including indexing)?	1: present, 0: absent	0	Tsumagari (2009:1-18)			
GB104	Is there an instrumental applicative marker on the verb (including indexing)?	1: present, 0: absent	0	Tsumagari (2009:1-18)			
GB105	Can the recipient in a ditransitive construction be marked like the monotransitive patient?	1: present, 0: absent	0	Tsumagari (2009:1-18)			
GB107	Can standard negation be marked by an affix, clitic or modification of the verb?	1: present, 0: absent	0	Tsumagari (2009:13-14)			
GB108	Is there directional or locative morphological marking on verbs?	1: present, 0: absent	1	Tsumagari (2009:8)	There is a so-called ‘regressive’ suffix with the meaning ‘back’.		"eme-rgi-
come-REGR-
‘to come back’"
GB109	Is there verb suppletion for participant number?	1: present, 0: absent	0	Tsumagari (2009:1-18)			
GB110	Is there verb suppletion for tense or aspect?	1: present, 0: absent	0	Tsumagari (2009:1-18)			
GB111	Are there conjugation classes?	1: present, 0: absent	?	Tsumagari (2009:1-18)	Not mentioned.		
GB113	Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?	1: present, 0: absent	1	Tsumagari (2009:8)			"eme-xeen-
come-CAUS-
‘to make someone come’"
GB114	Is there a phonologically bound reflexive marker on the verb?	1: present, 0: absent	?	Tsumagari (2009:1-18)	Not mentioned.		
