Grambank ID	Feature	Possible Values	Value	Source	Comment	Detailed comment	Example
GB020	Are there definite or specific articles?	1: present, 0: absent	1	Nikolaeva and Tolskaya (2001:131)	"possessive marker can have a meaning of definiteness and identifiability: ""The noun marked as definite by the 3rd person suffix -ni is not a head of a possessive noun phrase. It neither has an overt (“possessive”) modifier, nor is there a possessor recoverable from the context.”"		"ei mo:-wo-ni kusige-ɀi e-ɀi tinda
this tree-ACC-3SG knife-INST NEG-IMP.2SG cut
‘Do not cut these trees with knives.’"
GB021	Do indefinite nominals commonly have indefinite articles?	1: present, 0: absent	0	Nikolaeva and Tolskaya (2001:114)			
GB022	Are there prenominal articles?	1: present, 0: absent	0	Girfanova (2002:7-57)			
GB023	Are there postnominal articles?	1: present, 0: absent	1	Nikolaeva and Tolskaya (2001:131)	"""The noun marked as definite by the 3rd person suffix -ni is not a head of a possessive noun phrase. It neither has an overt (“possessive”) modifier, nor is there a possessor recoverable from the context.”"		"ei mo:-wo-ni kusige-ɀi e-ɀi tinda
this tree-ACC-3SG knife-INST NEG-IMP.2SG cut
‘Do not cut these trees with knives.’"
GB024	What is the order of numeral and noun in the NP?	"multistate 1: Num-N; 2: N-Num; 3: both."	3	Nikolaeva and Tolskaya (2001:418, 479)	"""Other modifiers (numerals and some other quantifiers) may be prenominal and postnominal without being raised.”"		"ɀube ugda
two boat
‘two boats’"
GB025	What is the order of adnominal demonstrative and noun?	"multistate 1: Dem-N; 2: N-Dem; 3: both."	1	Girfanova (2002:9, 11)			
GB026	Can adnominal property words occur discontinuously?	1: present, 0: absent	1	Nikolaeva and Tolskaya (2001:859, 847)			"pakula ugda-na-mi imexi-we wo:-ni
Pakula boat-DEST-REF new-ACC make.PST-3SG
‘As for the boat for Pakula, he made a new one for himself.’
ŋene-mi jegdige xokto agdan-di-ni ogbie-we wa:-ni ogbie bogo-wo-ni
go-INF hero road middle-DAT-3SG moose-ACC kill.PST-3SG fat-ACC-3SG
‘The hero was walking and on half way he killed a moose, a fat moose.’"
GB027	Are nominal conjunction and comitative expressed by different elements?	1: present, 0: absent	1	Nikolaeva and Tolskaya (2001:126, 412-413, 495-498, 648)		"comitative: comitative case -ɀi, comitative postpositions meŋde ‘(together) with’ (INANIM), mule ‘with’ (ANIM), geje ‘with’ (ANIM), ɀuŋe ‘together with, both’ (INANIM)
coordination: additive focus clitic -dA, contrastive focus particle -la"	"bi anda mule ŋene:-mi
1SG friend with go.PST-1SG
‘I left with my friend.’
mamaka aɀiga-la digeŋ-ki-ni
old.woman girl-CONT hide-PST-3SG
‘The old woman and the girls have hidden.’"
GB028	Is there an inclusive/exclusive distinction?	1: present, 0: absent	1	"Nikolaeva and Tolskaya (2001:107, 333); Girfanova (2002:18)"			"minti [1PL.INCL]
bu [1PL.EXCL]
-u 1PL.EXCL.POSS
-fi 1PL.INCL.POSS"
GB030	Is there a gender distinction in independent 3rd person pronouns?	1: present, 0: absent	0	"Nikolaeva and Tolskaya (2001:107, 333); Girfanova (2002:18)"			
GB031	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?	1: present, 0: absent	0	Nikolaeva and Tolskaya (2001:336)	only attested for first person ‘I with you, we, two of us’		
GB035	Are there three or more distance contrasts in demonstratives?	1: present, 0: absent	0	"Nikolaeva and Tolskaya (2001:343, 345); Girfanova (2002:19)"			"te:ti ‘this’
ta:ti ‘that’"
GB036	Do demonstratives show an elevation distinction?	1: present, 0: absent	0	"Nikolaeva and Tolskaya (2001:343, 345); Girfanova (2002:19)"			
