Grambank ID	Feature	Possible Values	Value	Source	Comment	Detailed comment	Example
GB020	Are there definite or specific articles?	1: present, 0: absent	0	Yamada (2015:449-476)			
GB021	Do indefinite nominals commonly have indefinite articles?	1: present, 0: absent	0	Yamada (2015:449-476)			
GB022	Are there prenominal articles?	1: present, 0: absent	0	Yamada (2015:449-476)			
GB023	Are there postnominal articles?	1: present, 0: absent	0	Yamada (2015:449-476)			
GB024	What is the order of numeral and noun in the NP?	multistate 1: Num-N; 2: N-Num; 3: both.	?	Yamada (2015:449-476)	Not mentioned.		
GB025	What is the order of adnominal demonstrative and noun?	multistate 1: Dem-N; 2: N-Dem; 3: both.	1	Yamada (2015:454, 465)			
GB026	Can adnominal property words occur discontinuously?	1: present, 0: absent	?	Yamada (2015:449-476)	Not mentioned.		
GB027	Are nominal conjunction and comitative expressed by different elements?	1: present, 0: absent	?	Yamada (2015:457)	not clear, how coordination is expressed	comitative: -tu	
GB028	Is there an inclusive/exclusive distinction?	1: present, 0: absent	0	Yamada (2015:456)			
GB030	Is there a gender distinction in independent 3rd person pronouns?	1: present, 0: absent	0	Yamada (2015:456)			
GB031	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?	1: present, 0: absent	0	Yamada (2015:456)			
GB035	Are there three or more distance contrasts in demonstratives?	1: present, 0: absent	1	Yamada (2015:454, 456)		khunu, unu, khanu	
GB036	Do demonstratives show an elevation distinction?	1: present, 0: absent	0	Yamada (2015:454, 456)			
GB037	Do demonstratives show a visible-nonvisible distinction?	1: present, 0: absent	0	Yamada (2015:454, 456)			
GB038	Are there demonstrative classifiers?	1: present, 0: absent	0	Yamada (2015:449-476)			
GB039	Is there nonphonological allomorphy of noun number markers?	1: present, 0: absent	0	Yamada (2015:455-456)			
GB041	Are there several nouns (more than three) which are suppletive for number?	1: present, 0: absent	?	Yamada (2015:449-476)	Not mentioned.		
GB042	Is there productive overt morphological singular marking on nouns?	1: present, 0: absent	0	Yamada (2015:455-456)			
GB043	Is there productive morphological dual marking on nouns?	1: present, 0: absent	0	Yamada (2015:455-456)			
